,action_TFC_finish,action_TNC_finish
"(4, 4)",10.234990422848636,10.077733670140617
"(4, 3)",9.847553143615004,10.190116663352182
"(3, 2)",8.51089898715817,7.992571341994328
"(3, 0)",4.342170842224654,4.663906725391183
terminal,0.0,0.0
"(4, 2)",9.150646754483715,9.181893748578396
"(3, 4)",4.207664695768925,8.681006126996117
"(3, 3)",8.58057959305005,8.6363591587604
"(2, 2)",7.134659849485528,1.5211911351464298
"(2, 1)",7.061586934573531,5.186049003658123
"(2, 0)",6.4642568159777545,6.861387844633349
"(3, 1)",7.5341522491012265,5.073239061093004
"(4, 1)",8.92124831370262,9.092601231692809
"(4, 0)",7.755341168473026,7.372592116928769
"(2, 3)",3.1969089984322587,6.6275832452220795
"(1, 0)",0.375,7.374565346472725
"(1, 2)",0.0,1.892605829037754
"(1, 1)",0.375,0.0
"(2, 4)",3.4271675267194857,0.25
"(0, 2)",0.0,5.100466194651824
