[43.2 49.2],[50.41176471 49.58823529],[21.56470588 48.03529412]
[43.2 49.2],[50.41176471 49.58823529],[21.56470588 48.03529412]
[43.9 49.1],[50.5  49.05],[24.1  49.25]
[44.8 49.2],[50.5  49.05],[27.7  49.65]
[45.4 49.4],[49.15 49.  ],[34.15 50.6 ]
[46.1 49.2],[47.85 49.1 ],[40.85 49.5 ]
[46.4 49.3],[47.2  49.25],[44.   49.45]
[45.8 49.4],[47.05 49.45],[42.05 49.25]
[46.  49.4],[46.95 49.7 ],[43.15 48.5 ]
[45.8 49.2],[46.9 49.6],[42.5 48. ]
[45.7 49.3],[46.55 49.6 ],[43.15 48.4 ]
[45.6 49.4],[46.15 49.8 ],[43.95 48.2 ]
[45.55555556 49.55555556],[46.   49.65],[44.22222222 49.27222222]
[45.44444444 49.44444444],[46.05 49.55],[43.62777778 49.12777778]
[45.5   49.375],[45.8 49.5],[44.6 49. ]
[45.25  49.375],[45.75 49.4 ],[43.75 49.3 ]
[45.5        49.33333333],[45.57894737 49.47368421],[45.26315789 48.9122807 ]
[44.8 49.2],[45.31578947 49.36842105],[43.25263158 48.69473684]
[45. 49.],[44.89473684 49.36842105],[45.31578947 47.89473684]
[45.  48.5],[44.57894737 49.21052632],[46.26315789 46.36842105]
[45.  48.5],[44.31578947 49.        ],[47.05263158 47.        ]
[43.2 49.2],[50.41176471 49.58823529],[21.56470588 48.03529412]
[44.  49.2],[50.5  49.05],[24.5  49.65]
[44.8 49.1],[50.5  49.05],[27.7  49.25]
[45.8 49.3],[49.5  49.05],[34.7  50.05]
[46.4 49.2],[48.5 49.1],[40.1 49.5]
[46.7 49.1],[47.6  49.25],[44.   48.65]
[46.4 49.4],[47.4 49.5],[43.4 49.1]
[46.6 49.1],[47.15 49.5 ],[44.95 47.9 ]
[46.4 49.2],[47.   49.45],[44.6  48.45]
[46.4 49.1],[47.   49.55],[44.6  47.75]
[46.125 49.125],[46.7 49.5],[44.4 48. ]
[45.85714286 49.28571429],[46.55 49.45],[43.77857143 48.79285714]
[45.71428571 49.14285714],[46.05 49.65],[44.70714286 47.62142857]
[45.66666667 48.83333333],[45.75 49.45],[45.41666667 46.98333333]
[45.4 49. ],[45.45 49.3 ],[45.25 48.1 ]
[45.2 49. ],[45.25 49.05],[45.05 48.85]
[45.         49.33333333],[44.95 48.95],[45.15       50.48333333]
[44.5 49. ],[44.9 49.1],[43.3 48.7]
[45. 49.],[44.95 49.45],[45.15 47.65]
[43.2 49.2],[50.41176471 49.58823529],[21.56470588 48.03529412]
[44.  49.2],[50.5  49.05],[24.5  49.65]
[44.8 49.2],[50.5  49.05],[27.7  49.65]
[45.8 49.2],[49.5  49.05],[34.7  49.65]
[46.6 49.3],[48.5 49.1],[40.9 49.9]
[46.8 49.4],[47.6  49.15],[44.4  50.15]
[46.7 49.2],[47.5 49.4],[44.3 48.6]
[46.2 49.2],[47.45 49.6 ],[42.45 48.  ]
[46.2 49. ],[47.3 49.6],[42.9 47.2]
[46.2 49. ],[47.15 49.55],[43.35 47.35]
[46.3 49.1],[46.9  49.65],[44.5  47.45]
[45.9 49.1],[46.6 49.6],[43.8 47.6]
[45.7 49. ],[46.3  49.55],[43.9  47.35]
