,action_TFC_finish,action_TNC_finish,action_noise
"(4, 4)",5.649467273201134,2.224394909648547,-3.1616152661440577
"(4, 3)",9.997217097502594,-8.516487019022755,-15.738592147937059
"(3, 3)",5.998778033841029,-8.73385737975701,-12.441882379915368
"(3, 2)",7.201627095680123,-5.1818162381010895,-8.990207715166349
"(2, 1)",3.871329428912978,-4.278014395360678,-2.0030385637237864
"(1, 1)",0.5716615885219719,-0.6625736405470439,-2.8284275025911905
terminal,0.0,0.0,0.0
"(2, 3)",-5.514326409472778,-13.897160214047226,-9.704119458764996
"(1, 3)",-7.784151128944736,-5.200271203997698,-7.036428860236119
"(0, 3)",2.8935918727893006,-0.06621032837337476,-0.12763543676588335
"(4, 2)",9.723999043730906,-3.079494174740237,-0.1219690319922404
"(2, 2)",1.411256137966126,-4.574475204683631,-5.2441380830529045
"(4, 0)",-1.8080504187462585,0.19318442747903025,-1.8914925178367645
"(4, 1)",8.808826178107125,-3.5132241273827853,-3.299837510255323
"(3, 1)",5.824454263890003,-3.7324829240489636,-3.3073917127393804
"(3, 0)",0.055257442942430374,0.24490161341843442,0.059657264681107366
"(2, 0)",0.2511104268018467,0.4141450212661216,0.19929464998288166
"(1, 0)",0.08135979332913679,0.16053280085096236,0.08043644683707117
"(3, 4)",-1.3829192612739394,-1.6632857262435197,0.33725408221525277
"(1, 2)",-4.535551957047245,-4.997145074581232,-4.3661729438933286
"(0, 2)",-0.050085949368106335,0.21192758107330317,-0.04544269004016707
"(2, 4)",-0.3111479321648889,-4.82325136498453,-5.952361580722968
"(1, 4)",-1.1,-1.1998625413649637,0.0
"(0, 4)",0.05715326461033263,-0.08749126421168807,-0.35200000000000004
"(0, 0)",0.0,0.0,0.05119408787765002
"(0, 1)",0.039156381522192085,0.0,0.0
