,action_TFC_finish,action_TNC_finish,action_noise
"(4, 4)",27.60391746405905,15.278394389494451,9.683614276772367
"(4, 3)",20.662938775447483,-9.787673218660528,-1.8739226467637247
"(4, 2)",17.243489476042853,4.1351186999538765,-2.2091360413522327
"(3, 1)",3.7482659524385644,-1.080119699489099,-1.4267064115047383
"(3, 0)",1.2794997348830948,1.2191500421832318,1.0115109939672928
terminal,0.0,0.0,0.0
"(4, 0)",8.535616198256168,1.410326606582164,1.4314821591098055
"(4, 1)",14.088854457411891,-0.3298508662820434,0.027390633188205837
"(3, 3)",21.392268073131856,-14.86258061065541,-10.886772566146199
"(3, 2)",13.287576229390961,-7.229161350842732,-6.699011665396591
"(2, 1)",3.153668210464031,-2.612627148983396,-2.5126994754759178
"(2, 0)",7.673454977878695,0.3790694673080869,0.8725857722160105
"(2, 3)",-7.721928850545517,-5.4990666156700865,-6.921875
"(1, 3)",-7.362494545904066,-2.8436429969490518,-8.5
"(1, 2)",-10.5,0.0,0.0
"(1, 1)",0.75,-1.7678029552477925,-3.0
"(1, 0)",0.0,0.0,5.3872695054054685
"(2, 2)",1.9704284588311345,-8.08954023976201,-5.0
"(0, 3)",0.0,1.4920484107121395,0.0
"(3, 4)",8.621071354932766,-10.5,-13.0
"(2, 4)",-0.5,-9.0,0.0
"(1, 4)",0.0,1.975716201395422,-8.0
