,action_ATK_nearest,action_ATK_nearest_weakest,action_MIX_lure,action_MIX_gather
F00F0F,3.964551152468644,0.0,0.0,0.0
AB0F0F,1.0821,0.0,0.0,0.0
FFFF0F,0.6800000000000002,0.0,2.17,0.0
0F0F0F,-0.3400000000000001,0.0,6.119262455685124,-0.6700000000000002
880F0F,0.0,0.0,1.67,0.0
0F0F0A,0.0,1.35,0.0,0.0
0F0FFF,0.0,0.0,-0.17000000000000012,1.638714673220504
0FF00F,0.0,0.0,5.985714880109557,0.0
980F0F,-1.67,1.8399999999999999,0.0,0.0
0F0FF0,1.5041457978093824,0.0,0.0,0.0
0F980F,0.0,0.9956000000000002,0.0,0.0
C9FF0F,0.0,0.0,0.0,0.0
F00FF0,0.0,0.0,-0.2553000000000001,1.420050335051057
0FC30F,0.0,0.0,0.0,0.0
F0F00F,0.0,1.1009,0.0,0.0
F0FF0F,0.0,0.0,0.0,2.091947118267982
0FAB0F,0.0,0.0,0.7739969000000001,0.0
0F98F0,0.0,2.047171,0.0,0.0
ABAB0F,-1.1800000000000002,0.0,0.0,0.0
F00FFF,0.0,0.0,0.0,0.14724748899999993
8B0F0F,0.0,0.0,0.0,-0.3400000000000001
FF0F0F,3.3539405917664085,-0.18170942739999987,0.0,0.0
FFF00F,-2.3930000000000002,-0.8400000000000001,0.0,0.0
0FABFF,0.0,0.0,0.8034241799181153,0.0
0FFF0F,2.1387658566189605,0.05274749431607221,-0.018997676700945654,0.0
F0C30F,0.0,0.0,-0.68,1.69
460F0F,0.0,1.1700000000000002,0.0,0.0
0F46F0,0.0,0.0,-0.6310788197143471,0.0
C3F00F,0.0,0.0,0.0,1.4822999999999997
0FC9F0,1.17,0.0,0.0,0.0
940FF0,0.0,1.18,0.0,0.0
F0F046,0.0,0.024272744884464872,0.0,0.0
C30FF0,-1.4991,-1.3400000000000003,0.0,-1.33379
AB0FF0,0.0,-1.0200000000000002,0.0,0.0
AB0FFF,0.0,-1.0100000000000002,0.0,0.0
F0AB0F,0.0,2.0648164703889353,0.0,0.0
0FFF46,0.0,0.0,0.0,-0.8500000000000001
0FC346,1.088210039381481,0.0,0.0,0.0
F0980F,0.0,0.0,1.6710941158502077,0.0
FF0FF0,0.0,0.46126087624034195,0.0,0.0
0FF0F0,0.0,0.0,0.0,0.0
