,action_ATK_nearest,action_ATK_nearest_weakest,action_ATK_threatening
0F0F0F0F0F0F,0.0,0.0,2.856209672384934
F0F00F0F0F0F,-3.3286882989533866,0.0,7.534679339999999
0F0FF00FF00F,1.0306000000000002,0.0,0.0
F00FF00F0F0F,-2.0200000000000005,0.5693653143156152,0.0
C30F0F0F0F0F,4.553229,0.0,0.0
0FF0F00F0F0F,-2.1935000000000002,4.3581,0.0
F00F0FF00F0F,-1.5859705000000004,0.0,0.0
0FF00FF00F0F,0.0,-1.8812450000000003,-0.42168512249000045
0F0F0F460F0F,0.0,-2.4120205,0.0
460F0F0F0F0F,0.0,-2.3600000000000003,0.0
0FC30F0F0F0F,0.0,0.0,2.19
0F0FC30F0F0F,0.0,0.0,-1.6758712171159464
0F0FF0F00F0F,-2.3600000000000003,-0.8753166102410003,0.0
