,action_TFC_finish,action_TNC_finish,action_greedy,action_noise
"(4, 4)",-14.803625392203395,-15.032577542689575,-1.5654272050800382,-2.611194828235144
"(3, 4)",-7.440204243731662,-6.756651064068754,-5.2137739087152255,0.9474104957579501
"(2, 3)",-8.601374951772836,-8.409794083657022,-3.933775250363704,-6.137417444311704
"(2, 2)",-7.501170775357201,-9.474931583578181,-3.6100263894177047,0.6603139944303831
"(1, 2)",-4.069282190009338,-3.1452921253116743,-2.5498977613494036,-0.5072466092950779
terminal,0.0,0.0,0.0,0.0
"(2, 4)",-2.971368715932279,-4.092477172913003,6.3819519078758145,-2.0234875682238065
"(3, 3)",-12.275249795139795,-11.594301601430097,-1.6144372685406139,-3.82771397426641
"(1, 3)",-5.799828853574541,-6.241055111451154,-6.436680391228779,-5.022198425834139
"(2, 1)",-6.625957644789189,-6.0012867246822506,-5.469288324139265,0.8896684925402667
"(2, 0)",-3.3259945250314833,-2.4451532007053443,-0.03137831119973713,-0.02934949301502553
"(0, 3)",-4.5322022205684934e-05,-0.022428842044165124,-0.03897649817343158,-0.03418859333574035
"(3, 2)",-3.7089854708725785,-3.1420274759184688,-3.1533458282775824,-1.3605967119846762
"(1, 1)",-0.4697596180763225,-0.08170264438753588,-0.06964275367388534,-0.08315679138506624
"(4, 3)",-4.2153892180616275,-3.0200266676117717,-2.500843706417448,0.18191607889795813
"(1, 4)",-2.4000000000000004,0.0,-0.03753631578398281,-1.1260760912014636
"(3, 1)",0.0,0.0,0.9231883130647273,0.0
