,action_TFC_finish,action_TNC_finish,action_greedy,action_noise
0090000F2106000F2106000F,-80.37798234272712,-15.047922925079433,-8.81883592667101,-8.849620170030969
0091000F2107000F2107000F,-89.47783814378931,-93.19382720292883,-88.86111958784872,-88.1435531957532
0530000F2150000F2150000F,-4.516085497835693,-5.18329266073487,-10.262093161642788,-6.766378686462265
0092000F2207000F2207000F,0.0,-10.8,-1.7917211553674832,12.52965110848298
00A3000F3208000F3208000F,-13.410762457855979,-9.887078592128704,-15.413879568187635,9.546506406703367
10A4200F4400A00F4400A00F,0.0,0.0,2.7,10.8
00A5300F3500A00F3500A00F,-5.4,0.0,3.7798899635085914,0.0
0095100F3300900F3300900F,-9.974898869194629,-10.8,-2.6491848045360458,-12.694542869500797
0095100F3200A00F4200A00F,-5.044010989554932,-4.988001680950942,-5.375292326499686,-10.353003185800176
0095100F4200A00F4200A00F,-6.303774367619287,-8.172489819707092,-0.4954997689528131,-1.8512373782054805
00A2000F3108000F3108000F,-6.569558984606596,-8.110012290116478,6.6322952984919645,-7.578328916166172
00B3100F3400900F3400900F,0.0,-5.4,0.0,10.8
00B6300F4220B00F4220B00F,0.0,0.0,8.1,0.0
0092000F3207000F3207000F,-6.259901566373543,-14.605580190712942,-8.279416963160957,11.32812837203389
0622000F2106000F2106000F,-4.870764354167874,-2.7018467358816944,-5.023626367787579,9.199664449836005
000C000F000C000F000C000F,-0.793211178430445,-0.06430797325033577,-0.7937868094870074,-0.7895132121846409
100B000F100B000F100B000F,-0.0656359465664158,-0.7973879593611112,-0.007820818428518755,-0.7987120448194773
1000F00F1000F00F1000F00F,-0.7733507782017452,-0.795714541721021,-0.7796595684776476,-0.7935880794104795
terminal,0.0,0.0,0.0,0.0
00A3000F3307000F3307000F,-0.5197759856427282,-5.899566389410498,12.040694419780387,13.105204626149686
00A3000F3308000F3308000F,-6.21896265375552,-6.190848058464461,-5.718526827475899,-6.174426735383954
10A3000F3208000F3108000F,-10.720256767738547,-11.884297040242878,-2.1614764410381246,0.7554022602592685
00B3100F3300900F3300900F,-5.003869470837839,-6.480900095803369,10.121440391481244,-1.9264420450511803
00A2000F3107000F3107000F,-5.4,-5.070179818962415,-3.507338528072818,0.9120895179752657
