,action_TFC_finish,action_TNC_finish,action_noise
"(4, 4)",10.376937907378426,3.1796963725125265,-2.5657992940391257
"(4, 3)",10.380679092962435,-7.7584383008222835,-11.026478193852085
"(2, 3)",1.1226747753644934,-1.5999,-1.091
"(1, 3)",-1.2000000000000002,0.0,-0.5
"(0, 3)",0.0,2.23969882317554,-0.30000000000000004
"(0, 0)",0.0,0.0,0.0
terminal,0.0,0.0,0.0
"(4, 2)",9.445375671271252,-5.215273626218983,-6.22556913005504
"(3, 2)",4.558991681620558,-2.2361532135470354,-0.9763535262930052
"(3, 1)",4.948169531647839,-2.832514157238673,-2.212825497397978
"(4, 1)",6.906164743520961,-7.815434529399453,-3.2374070745985755
"(4, 0)",0.1363069693921642,0.08832139179027111,0.07207929381114322
"(3, 0)",0.205361032716454,0.10903114284201057,0.1059372590256433
"(3, 4)",0.4914489085051448,-1.005343452151807,-2.2
"(3, 3)",3.149931347847248,-1.1910866315347794,-4.566374070805631
"(2, 1)",0.8012798711889604,-1.5339013441813036,0.0
"(2, 0)",0.2199875141485814,0.0,0.07364915032094414
"(2, 2)",1.8969338786985617,-1.6390005311964253,-1.6550200000000002
"(1, 1)",-0.30000000000000004,-0.35,-0.5
"(1, 0)",0.0,0.0,0.10498705328312115
