,action_TFC_000,action_TFU_000,action_TNC_000,action_TNU_000,action_TFC_025,action_TFU_025,action_TNC_025,action_TNU_025,action_TFC_050,action_TFU_050,action_TNC_050,action_TNU_050,action_TFC_075,action_TFU_075,action_TNC_075,action_TNU_075,action_TFC_100,action_TFU_100,action_TNC_100,action_TNU_100
00A6200F3410B00F4310B00F,13.114746437372807,29.796124203115838,9.0,41.920493868001586,11.914256212852482,10.147630964941092,23.005143093177924,10.329342362832897,12.552305192321825,12.235713659395532,16.870493623317035,15.99870553833592,0.0,0.0,0.0,19.025819367624912,16.677036008150814,12.152081111961582,17.15388422027526,17.023496555504003
10C5400F4410C00F4410C00F,-18.0,-2.340909375,-2.140453125,1.8305942177819792,-10.000224725090899,-3.1431971454883625,-7.119637695697531,-6.339837955731948,-2.2847568802222593,-3.9391522263045973,-4.190089641144303,-3.5312515440148884,-5.337537446207714,-3.1387014262120827,-3.3511908136010806,-2.9326621426965893,0.4834284674462319,-3.0,-10.16464666661725,-0.6431350189611953
10C5400F4420D00F4310D00F,0.0,0.0,0.0,34.66153378583063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.04300530504453,0.0,0.0
00B5300F3310C00F4310C00F,0.0,0.0,0.0,-1.5,0.0,0.0,0.0,-10.826557152188812,0.0,19.875119248125998,0.0,0.0,0.0,0.0,1.5645881574233949,0.0,0.0,0.0,0.0,0.0
00C5300F4400C00F4400C00F,-3.0112881967228606,18.198979164792895,-7.554647931874156,-2.9279543282374885,9.238591303967274,14.46567574374862,12.44809639560546,-6.0,8.482956508799276,14.65965529503673,14.057969273705421,11.002674265002513,5.565591801525002,4.28014013500593,14.480590419556231,15.080070151782197,29.514639743381103,15.302146389673222,19.911771046872552,12.42320482905503
00C4400F3500C00F4400C00F,3.134139509915906,22.456773932217814,19.440490410008906,21.962389263804624,18.377506355767444,19.839195597562274,21.21539918377494,29.62458354470749,13.648149005767454,20.706895677619023,14.098566175628964,12.733211992732738,17.113525564611876,17.16407390383673,20.32626371313284,17.519007462801603,21.244569391825493,29.40797652891186,23.51648255699743,21.65084788926746
00C4400F4400D00F4400D00F,-6.242905948430714,18.162208460654693,-3.1737906289387636,27.234669394505936,5.154425364740447,-2.137286079181855,10.674881313327898,-0.3181605857141845,14.834818675110945,19.217043724306038,15.194482278000102,12.134175982099496,14.50521720421073,9.017724515507,3.117443956234866,-3.424312500000001,12.225477118821065,11.650950660296196,18.986472937949628,6.94617087513301
00B5100F4300B00F4300B00F,-1.579139881189096,-5.51735625,-6.0,-5.302734833203125,-3.0,-6.0,-7.571249999999999,-12.0,-3.0,-5.25,-5.689422582419644,-3.0,-4.322292920904783,-1.575,-1.7221128935212429,10.027846009125039,-9.067499999999999,-3.0,-2.839374898160102,-4.8
00B6100F4300B00F4300B00F,4.316432281786398,0.0,-3.504062081154992,-1.8790261377301605,-7.5,8.124659093577158,1.2223246409330475,25.954876817293794,1.8088985440353702,3.7052914692072965,-0.4277512178060132,3.7951888984950295,3.9090777008274875,-0.14624999999999977,5.945930579657875,-1.3309660798064376,0.0,8.847367669889923,2.6126750716020233,4.178232549585973
00A6200F3300B00F3300B00F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0095000F4200A00F4200A00F,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,0.0,0.0,-4.3450891675861865,0.0,0.0,0.0,0.0,0.0,0.0
0096000F3300900F3300900F,-2.694375,0.0,0.0,0.0,0.0,0.0,-1.6849713281249998,1.8364220600012189,-3.0,0.0,-6.15,0.0,0.0,0.0,3.90516771273927,0.0,0.0,-6.0,0.0,-7.5
A530000F4400A00F4400A00F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.302012890279382,0.0,0.0,0.0,0.0,0.0,0.0
C631000F4320C00F4320C00F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.701567804725848,0.0,0.0,0.0,0.0
9520000F3300900F3300900F,0.0,0.0,0.0,0.0,38.32005288452423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.519562269224004,0.0,0.0,0.0,0.0,0.0,0.0
7500000F3207000F3207000F,54.02121944770178,38.4374170223043,0.0,30.877298250333396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.374130890423892,0.0,0.0,0.0
A200000F2207000F2207000F,17.304332007755338,24.26996424168007,16.11592885480114,23.192929031879366,0.0,12.933542289538625,30.788255508189998,11.623021335946595,24.083074713065024,0.0,27.4976326279062,17.736034242911558,0.0,12.091634057896796,9.701724921152666,22.721726713568813,26.272990619876744,16.212498588087186,0.0,24.47293110227995
D000000FD000000FD000000F,7.613839631783337,11.146253292343857,3.387885076424723,3.691566777237882,7.791229845663976,3.7838382133553408,11.367635445068057,5.623979572637648,4.636016144949002,4.749269605104912,11.109217909946278,6.687111560931244,7.7202825649644495,7.500188865772756,11.728722590721087,7.843074530440818,5.602518638417976,28.956344707069835,6.6989152296287315,6.6585181100956605
terminal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10B4300F4310C00F4410C00F,-32.25,-7.547880106901974,-5.3700726222508415,-1.8310109769849667,-1.4933767666862505,-2.1088077282652065,-0.5361254323794427,-1.9532116958112224,-4.251672281164016,-6.0,-3.0,-1.4962873095703122,10.788935699784712,-2.2569723571661804,-4.594083183656812,-1.1788022111069179,-8.475,-7.715484325227676,-1.9248244241618657,-4.228119734978993
00B5300F4310C00F4310C00F,-21.792995704259084,-10.218836595136752,-10.5,-6.171379310272824,-10.5,-8.475,26.170117849725322,-6.268950166353144,-6.072178176073901,-5.9571216435175245,-6.571892392228111,-15.0,-5.243165555743067,-8.45067893471987,-6.713226657846738,-6.9138729517082895,-14.249152166112479,-11.853984375,-11.305700170609892,-6.432739143530984
00A5200F3400A00F3400A00F,-6.0,0.0,-3.0,-1.5,-6.15,0.0,-3.314822700700991,-0.9247453124999998,0.0,-3.5349453863887526,0.0,1.5,-3.0,-5.1205676953125,0.0,-1.4370867187499998,0.0,-3.0,0.0,0.0
00B3100F3209000F3209000F,0.0,0.0,0.0,0.0,0.0,11.948157163073162,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,-10.5,0.0,0.0,-6.0
