,action_TFC_000,action_TFU_000,action_TNC_000,action_TNU_000,action_TFC_025,action_TFU_025,action_TNC_025,action_TNU_025,action_TFC_050,action_TFU_050,action_TNC_050,action_TNU_050,action_TFC_075,action_TFU_075,action_TNC_075,action_TNU_075,action_TFC_100,action_TFU_100,action_TNC_100,action_TNU_100
0622000F2206000F2206000F,-17.047598783312065,-3.1207066108753483,-12.891406059703018,-8.34386241718304,2.903152535067255,3.8755721050575884,6.812866465434018,3.6863376003741677,4.218587859357937,4.645514839326239,5.5792972912676655,3.6311082179556973,3.939584704477045,4.272858776891621,2.7819454333765377,2.1637263604847305,4.537666952719599,3.8010437544999256,4.570148873793644,4.821848390544475
0631000F2106000F2106000F,0.0,0.0,0.0,-1.3863428045836763,0.0,0.0,-0.1499999999999999,0.0,0.0,4.127393892567639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0530000F2150000F2150000F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.445411736444305,0.0
00B3000F3109000F3109000F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.571520178125936,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00A2000F2208000F2208000F,0.0,6.4428021574910765,0.0,0.0,0.0,0.0,0.0,2.2249709732285115,0.0,0.0,2.793407412033811,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,0.0,0.0
A200000F2207000F2207000F,0.0,5.781058829149188,6.380775758563187,2.731769465188996,6.557085817531588,0.0,5.826619446439398,9.226652640952793,4.907107436195487,5.619056882285916,5.635068183312768,0.0,0.0,5.3365421347090045,5.707720985522242,0.0,3.193696988171795,4.820702163301816,5.101806503853444,6.027113151810186
D000000FD000000FD000000F,2.6096926732266823,2.1295077022569155,1.3445523688494576,1.9640812645008472,2.3631813175242904,0.278527386771771,0.3616245180539735,3.173458571634416,2.525560670241826,1.5170088902155996,2.4869228830650636,1.7835087315282725,2.1883174190201578,1.7971872264615651,1.5100698329446902,3.5557146788211984,1.671234021647816,2.555367417590217,2.408851374083533,1.1444998176148578
terminal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0092000F2107000F2207000F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.273068873574301,0.0,-0.75,1.5,-0.16588866237482014,0.0,0.7944284101129617,0.0,4.366105928100749,0.0,0.0,7.7242535865520745
00A1000F2009000F2009000F,-0.8944108715112363,1.279466821703458,0.0,0.0,0.0,0.0,0.0,0.48584873174300025,5.628698970077292,0.0,2.2040686498550177,0.0,0.0,0.0,0.0,3.3974503989042133,0.26128547088494836,3.205929581339201,-1.5,0.0
0090000F2007000F2007000F,0.6667461782770521,0.24101587473002273,0.0,5.367914671373665,0.0,0.0,3.6192608609888537,3.2094169707127422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.702907089520348,0.0,0.0,0.0,0.0
0000F00B0000F00B0000F00B,0.7591958395199961,1.6117746638289305,3.2272358440147904,2.5208897570914788,2.085353381591607,2.3017170911515974,2.759412957732443,1.4546266341056098,1.9722690351113505,2.16198755332137,2.1940001321609097,0.0,2.6569732488077378,1.612633828254225,2.0626321981364395,0.0,2.483469568105719,2.0409842539037397,2.1678214047442887,1.9662723190614897
0000F00C0000F00C0000F00C,0.0,1.3382203106142592,0.0,1.3542634909133184,3.0008209595530007,1.8423050344928684,1.289575537491826,2.853613600517701,1.7535869701913134,0.6996044836849038,0.0,2.620624728340562,3.831905006808828,2.0234958293751766,2.842951565679982,2.059147337641783,1.6902038212847263,0.0,2.0578167690248836,1.4699205271438225
000F000F000F000F0000F00F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35825134997268193,0.0,0.0,3.9591197031134593,0.0,0.0,0.0,0.0
000C000F000C000F000C000F,1.0690987392583102,2.104540930852972,2.220584416154396,2.69312959192531,1.1895899414226832,0.9301755689810388,3.462964334124014,1.3748298256787783,2.5795498925509337,1.5891858197803912,2.732071361974051,2.0508169756467347,2.666944778837575,2.0994993453107007,1.801365773393453,3.789770738779798,3.07618952527039,2.0103246912552066,1.1713821036087493,4.414406359850737
0080000F0080000F0080000F,2.3185595916005113,0.9758423873658253,1.0952468964346387,1.3553587619850176,0.0,1.8001251429320713,0.0,0.0,2.2787830815819055,1.1884980976121937,0.0,1.8034031395195755,0.0,0.8017554376135715,0.0,0.0,0.0,1.872320968192483,3.471457602283392,1.1371961842677567
100B000F100B000F100B000F,0.0,2.678304676396177,0.0,0.0,2.72653516068978,2.1572691360012897,2.4018267156028905,0.0,0.0,3.5179578384475585,0.0,1.8613345456932797,1.6111129032683322,3.2516998790768064,2.200405214002116,0.0,0.0,0.0,3.1614085026461214,0.0
0520000F2050000F2050000F,0.0,0.0,0.0,0.0,0.0,0.0,6.3540824909492715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000F000F000F000F000F000F,0.0,0.0,2.970345531607782,2.249280405383036,0.0,1.7636061253297808,0.0,1.2787281064093785,0.0,1.5437982620445159,3.0786960487654147,1.1532429845268608,0.1559811069453785,1.9558375236410808,0.0,1.6527311112211125,1.717145661848402,0.0,0.0,0.0
0000F00E0000F00E0000F00E,1.5004857020655697,2.040970692228115,0.0,1.25925425741077,2.1866292733599435,1.463650282098909,2.412655835151274,0.0,1.8447231743704149,2.4967149363644365,0.8064904483523493,2.5847876767804867,2.5327267210124607,2.591809690925613,2.6423811783611875,2.5682705893174127,1.139180630591157,2.0293960453549866,2.1615890111263356,1.3179099086590562
1000F00C1000F00C1000F00C,0.0,0.0,0.0,0.0,0.0,4.211281174743587,0.0,1.4629909128307572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.453446545310625,0.0
1000F00E1000F00E1000F00E,1.8390881887629076,0.0,1.6046983542801292,0.0,0.0,0.0,0.0,0.0,1.7849901689115195,0.0,1.3376725398604237,0.0,4.301494729779128,3.1154006804130017,1.447426680893544,2.0748731416536064,0.0,0.0,0.0,0.0
0091000F3008000F3008000F,0.0,-0.8068831419924836,0.0,0.0,5.442200532018381,0.0,0.0,0.0,0.0,1.5235064862912382,0.0,0.0,0.0,0.0,0.0,2.0398931335772312,0.0,0.0,1.3567627998326468,0.0
000E000F000E000F000E000F,5.940417217847566,1.754807607628951,0.0,0.0,2.0018309141354154,1.598946349449072,0.0,0.0,0.29146741925462943,2.5708239678334457,1.7875318379209795,1.2769370889168614,2.283134219463766,0.707463344152287,0.0,0.0,1.6714302219541881,0.0,0.0,1.6320585692322778
0000F00F0000F00F0000F00F,0.0,0.0,0.0,0.0,0.0,1.4716978165394803,1.9662462908905067,0.0,0.0,0.0,0.0,2.063999605541865,0.0,0.0,0.0,1.7336396402297278,0.0,3.8002589425773365,1.0989649699047919,0.0
000E000F200B000F200B000F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.014773095728428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0093000F3009000F3009000F,0.0,2.821657599312302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,0.0,0.0,0.0,0.0,7.537217701465931
00A4000F210A000F210A000F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.005170070569974,0.0,0.0,0.0,0.0,0.0,0.0
0090000F0090000F0090000F,0.0,0.0,0.0,3.680258030682241,1.4466267419850467,0.0,0.0,5.113202090695802,0.0,0.0,0.0,0.0,1.4466267419850467,0.0,2.295370732980975,0.0,0.0,0.0,0.0,0.0
0070000F0070000F0070000F,0.0,0.862001501658287,0.0,0.7933818046180496,2.4579843630134635,0.5398548802639803,0.0,1.0663643577143511,1.041056923592688,2.395639464998312,0.0,0.0,1.1358134095659347,0.0,2.240642962616475,0.0,0.46840284813820054,0.0,0.0,4.8935415689759525
0050000F0050000F0050000F,0.0,1.8944785964889146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.766337857473059,0.0,0.0,2.0174347575790508,0.0,0.0,3.303506581114613,0.0,2.5151778402461575,0.0,0.0
0091000F2008000F2008000F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.68528805854424,0.0,0.0,0.0,4.987708569259679,1.6453144996981743,-1.5,-1.591875,0.0,1.3915186655310685,0.9806531457522207,0.0,0.0
0091000F3007000F3007000F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.997432189666849,0.0,0.0,4.376408163066281,0.0,0.0,0.0,0.0,0.0,0.0
000F000F3000C00F3000C00F,0.0,0.0,0.0,-1.5,0.0,0.0,0.0,2.8984433829077507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.691698342784724,0.0,0.0,0.0,0.0
000F300E3300E00F3300E00F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7297343798720926,6.700530199443318,3.1303462743774926,0.0,0.0,0.0
000B000F000B000F000B000F,0.0,1.335915357626609,1.7655862312534236,1.5521046518991866,3.76527174447582,1.223834666898631,2.435847928755093,2.9986843985603686,2.0652064238242245,1.5849523945589101,0.0,0.0,2.353769373916987,0.8497305650618012,2.0928457593765635,1.1981031397139508,2.5411237994216584,2.1802827521979484,0.0,1.6362739283941594
0009000F0009000F0009000F,0.0,0.8345951871862856,4.3079775899876545,0.0,0.0,0.0,1.6738270143013838,0.0,0.0,0.0,1.154299164889973,1.2822603878464762,0.0,0.0,0.0,0.5548081205784978,0.0,0.0,0.0,1.579819417300734
0091000F2106000F2106000F,0.0,2.25,-0.6959468824187023,0.0,0.0,0.0,7.934443648571698,0.0,0.0,0.5887805198900553,0.0,0.0,0.0,0.0,0.0,0.0,3.268957053426718,0.0,0.0,0.0
