,action_TFC_000,action_TFU_000,action_TNC_000,action_TNU_000,action_TFC_025,action_TFU_025,action_TNC_025,action_TNU_025,action_TFC_050,action_TFU_050,action_TNC_050,action_TNU_050,action_TFC_075,action_TFU_075,action_TNC_075,action_TNU_075,action_TFC_100,action_TFU_100,action_TNC_100,action_TNU_100
0093000F3207000F3207000F,-21.295388558727502,-4.285095654620657,-28.337602058232612,-10.107857688341308,-1.9859771876532681,-0.8266215007811275,-5.617197646648326,-0.6436326947860747,-3.025269139293444,-0.853166197281205,-2.026740799614901,-12.068418415755257,-9.287967898838431,2.666380184851739,-5.406117470888736,-3.5947834600338577,-0.6038568118232037,4.058164391762142,-0.44228338976002046,-6.057009586884743
0092000F3207000F3207000F,0.0,0.0,0.0,0.0,0.0,0.0,5.877188686267047,0.0,0.0,0.0,0.0,0.0,0.0,-2.5945199373892036,-0.28815884463146624,0.0,-3.0,1.8938722123978988,0.0,17.970580410035737
00A2000F2108000F2108000F,-10.644492033846674,-9.125830814503441,-10.134335299285993,-5.444943238075182,0.06354261769431968,1.194090048697186,0.5306925638194695,7.842821138629224,-0.6589868869290056,2.9359270416076626,-2.7446655964393107,-2.4006705907055483,-0.44795813149366204,-4.09439718626124,-3.0,-3.7599578035707264,-3.9705821610654146,0.2938331161316192,2.6203143250572385,-1.7673853600697225
00A2000F2109000F2109000F,4.659941734036023,1.2918159516127927,-3.0,0.0,5.478748513600514,0.0,-1.5,1.0749699273162023,4.211861498331638,10.603160843963565,7.819953539369775,0.20334769855642953,0.0,1.2353199488621733,4.512378276984719,0.0,0.0,0.0,5.639324830986157,0.0
0094000F2109000F2109000F,-6.0,5.098785962739736,-6.0,0.0,0.0,11.53635159087277,0.0,-3.0749999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.203223559618499
0085000F2209000F2209000F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12271789123722801,0.0,0.0,0.0,0.0,0.0,0.0,-2.9649843750000002,0.0,0.0
00A2000F2208000F2208000F,0.0,3.5590609543291722,0.0,0.0,0.0,0.0,0.03362730925126827,0.0,0.0,-0.22534208065446837,0.0,0.0,14.575047658716137,-4.264482278925259,-4.464896406476299,0.0,-1.5,0.0,-0.9664127326399123,0.0
0096000F3209000F3209000F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.757453810844726,-7.844362003602299,0.0,0.0,0.0,0.0,-2.5671436705128707,0.0
00B4000F220B000F220B000F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0.0
0090000F3007000F3007000F,0.0,0.0,2.434242507192287,0.0,0.0,0.0,0.0,10.434712681393814,0.0,0.0,2.5841612159877,0.0,0.0,0.0,0.0,1.5,1.8478042228610754,0.0,0.0,-0.28933714603550786
