,action_TFC_000,action_TFU_000,action_TNC_000,action_TNU_000,action_TFC_025,action_TFU_025,action_TNC_025,action_TNU_025,action_TFC_050,action_TFU_050,action_TNC_050,action_TNU_050,action_TFC_075,action_TFU_075,action_TNC_075,action_TNU_075,action_TFC_100,action_TFU_100,action_TNC_100,action_TNU_100
0092000F3207000F3207000F,-30.18626608229974,-12.580596499367665,-22.638750810296276,-8.004637931006725,-4.623768005386761,-9.968165418420313,-6.291668699077962,-6.405017395984745,-2.598349850528507,-2.123091478592487,-3.6408341059777625,-13.472864435688523,-12.556500442682946,-2.201674059929453,-11.508680225567659,-3.7249897981000446,-4.667117063811392,-6.157690523676003,15.311424033033406,-0.9731299524168171
00A2000F3207000F3207000F,-12.873723557052205,-5.2042342932269765,-12.836865372170463,-6.9603350740484515,-4.099195896940363,-8.881220636544182,-6.843195886911017,-4.757484069942516,-5.9679241018364015,-4.5044403806558435,-8.837739489720882,-6.9940563769467445,-4.508021221078019,-9.96174950184938,-6.780253560568687,-4.408648885974262,12.930837711086724,-5.064715473356742,-3.9400017177570414,-6.147407783566866
00A2000F2208000F2208000F,0.0,0.0,0.0,-7.005235311987131,12.492223718856359,0.0,0.0,-0.48929177557460024,5.591931678430379,-1.2585160865270266,0.0,0.0,0.0,3.859383428917818,-0.17222958667689525,-1.19132207915602,10.04953577757366,0.0,-3.9041954790825644,-4.5
00A4000F210A000F220A000F,0.0,0.0,0.0,0.0,0.0,-4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0182078165492916,0.0,0.0,0.0
0095000F220A000F220A000F,0.0,1.5416807148346319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9369607177167882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00A5000F310A000F310A000F,0.0,0.0,0.0,15.315739362332558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F210000E4200E00F4200E00F,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B200000F2209000F2209000F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.893432164798345
A200000F3207000F3207000F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A200000F2207000F2207000F,0.0,3.931820218767027,0.044185852791917224,0.0,0.0,0.6407495996007411,0.0,1.3212546922231387,1.7023199116893997,0.0,0.7851740477963571,0.0,2.8882221812754865,0.0,2.839753741695546,0.05023129921417877,0.5215454976302867,0.0,2.035920192327825,1.3058536509204899
