,action_TFC_000,action_TFU_000,action_TNC_000,action_TNU_000,action_TFC_025,action_TFU_025,action_TNC_025,action_TNU_025,action_TFC_050,action_TFU_050,action_TNC_050,action_TNU_050,action_TFC_075,action_TFU_075,action_TNC_075,action_TNU_075,action_TFC_100,action_TFU_100,action_TNC_100,action_TNU_100
0092000F3207000F3207000F,-31.338088562546037,-10.911461083832489,-34.543022381588514,-12.779331121402794,-5.208047882138844,-14.160273650374087,-5.816999811871162,-8.760731269329977,-3.8236143244434992,-4.854460074392243,-5.553153755252633,-0.7619052687298216,-5.833347534950386,-6.693150687759155,-6.542012594535697,-9.94251626540483,-9.578712988572756,3.9531558457327787,-8.48223990812891,-10.624465844875578
00A2000F3207000F3207000F,-16.363279302313344,-4.923803638738638,-11.056055948335198,-14.620222970540821,3.554726631159962,-4.972768004721979,1.6403397661677364,-8.850003576674197,-12.089768791154054,-5.984436618157715,0.7617405098615402,-6.653771743583813,-5.476352841047892,-8.273446442840202,-8.654799878968635,-9.962646367771683,-4.079125707674473,-5.91823697672447,3.522292034433973,12.836820762300954
00A2000F2108000F2108000F,-8.145213590294734,-2.80838832357964,-18.0,-6.819819065581454,-4.18931260763852,7.0103742257501755,-7.115150049141027,-2.476403066936197,-2.7990189843749995,-2.77022173407832,-5.0048086882748635,-5.470293543368834,-2.857976100800811,-2.790438475422352,-7.0259941406249995,-8.362837240507329,-2.6337227579051525,-4.5,-9.0,-2.6434876032355974
0093000F3009000F3009000F,0.0,7.325972328203402,0.0,0.0,-1.1995139954889025,0.0,0.0,0.0,3.652982391598698,0.0,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.248764476523438,0.0,-1.65
000F100F3000E00F3000E00F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36909149171918,0.0,0.0,0.0,0.0,6.172151357405003,0.0,0.0
0092000F2009000F2009000F,0.0,0.0,0.0,0.0,6.4476595424333345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2751296638154512,0.0,0.0,0.0,0.0
0091000F2008000F2008000F,0.0,0.0,0.0,0.0,9.862658165898228,0.0,0.0,0.0,0.0,0.0,0.0,-0.754511868394764,0.0,0.0,0.0,0.0,0.0,0.3417652432045788,0.0,0.0
0090000F2008000F2008000F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3750450708579829,-0.8564580847187377,0.0,0.0,5.122609381035518,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000F000F000F000F000F000F,0.0,0.0,0.0,0.0,0.0,0.0,0.03444735861424025,0.0,0.2758962549250389,0.0,2.224560036614539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6236873147612956
0000F00D0000F00D0000F00D,0.1539326487150821,0.7351028995727864,0.0,0.0,0.0,0.0,0.0,-0.31487370060261033,0.0,0.0,-0.5278379553390216,0.0,0.0,0.0,0.2990113520111025,0.0,0.0,0.0,0.0,3.0086168096862638
1000F00D1000F00D1000F00D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.557763630471031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100F000F100E000F100F000F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100B000F100B000F100B000F,0.0,6.9581657205258285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1080000F1080000F1080000F,2.452563302383102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06644680119529241,0.0,0.0,0.0
terminal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00A3000F2109000F2109000F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8761942477203775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4630550938015734,0.0
0091000F2107000F2107000F,-0.1499999999999999,-3.75,-3.0,0.0,0.0,0.0,0.0,0.0,-1.5,0.0,0.0,-4.5,-4.5,-0.06199149800341264,14.035469586581307,0.0,0.0,-7.019286272271842,-2.6542694860870517,0.0
