,action_TFC_000,action_TFU_000,action_TNC_000,action_TNU_000,action_TFC_025,action_TFU_025,action_TNC_025,action_TNU_025,action_TFC_050,action_TFU_050,action_TNC_050,action_TNU_050,action_TFC_075,action_TFU_075,action_TNC_075,action_TNU_075,action_TFC_100,action_TFU_100,action_TNC_100,action_TNU_100
1083000F3206000F3206000F,-11.592343629544944,0.5913506091656677,-7.118746263715013,10.714334864588768,-5.547307902616165,2.271259334162626,1.2280902013601547,0.6025481429964958,-0.15343233733235984,0.7618627807695628,-1.1381415941866262,-2.7140273204667786,-1.6293634001458073,-3.417520226429327,0.5799981391913378,-1.5036191961327408,-3.6990909504041007,7.687008278758761,0.4383649944424701,-3.0835055586968583
1092000F3207000F3207000F,-0.5277055874396672,2.292257117850353,-4.356491376116512,3.2420526091489283,2.1327022282696255,4.3279429909562195,5.315169499711072,2.0496791842543267,4.772731275609688,5.285779596977472,1.3979608204911247,5.424098128561285,12.565026107981161,3.2777073695153094,2.92070625,1.9704044773928444,2.393678900122775,2.9521703901737277,-0.5466283775200691,-1.4947658906130186
0092000F3207000F3207000F,-1.2550737957594236,-1.5078571763331456,-0.7506274792234064,0.0,12.0505758502949,0.9154203426104206,-2.1256586726505695,3.725155152472249,0.0,-4.5218288353938885,-0.9397856615911699,-3.25626938845013,1.5362535643242503,1.1586708696765329,0.0,0.0,0.0,2.3899307404623062,-0.2805338272028086,-1.1093075390624998
0631000F2106000F2106000F,0.0,0.0,-3.15,0.0,0.0,-4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.414406843956539,0.0,-1.6472179255279333,0.0,0.0
0622000F2106000F2106000F,0.0,0.0,0.0,0.0,1.869432592751326,1.5,5.616641351307791,1.8663092875275211,2.3191616138042157,1.735158971886124,0.0,0.0,2.354764907945574,2.561486940172209,0.0,1.9898482406811082,0.0,0.0,0.0,1.9549603554019748
A200000F2207000F2207000F,5.95206815337461,4.947874588429641,5.863969873828209,0.0,5.600033783324239,5.775048186986514,5.984287350280667,5.704116365061744,5.781378877834902,6.071648471847075,0.0,6.065488338088555,0.0,0.0,4.434136078102361,9.812752546456252,5.604986933758389,5.446747779492375,4.20581117741884,4.975909917534426
D000000FD000000FD000000F,1.2185308668055979,0.9308619105828102,0.6032506392527215,1.0607924305150038,1.5068099928472183,0.0,1.8229151156878693,0.8594284585867302,1.5432426211231651,0.8733530226077342,1.565060387260799,0.0,1.6159789462898333,1.5047854893195147,0.0,1.042421673884454,1.0428269909678622,1.5243047765405429,5.367485964558277,0.0
terminal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0093000F3207000F3207000F,-2.2985605393749644,-4.622745161987181,-2.971644831469519,-2.063210821576016,-2.0870715997602187,-1.8708225279180626,3.599305513296636,-2.9720480515374574,-1.5,-2.95031941063279,-4.16777028234408,-0.6042427765540346,-4.529525596226373,-4.859284582561126,-2.557630790206214,-0.7714663270878415,-2.8556034858779995,-3.1666154589410938,-3.9717298437997277,-1.75673169278847
1092000F3206000F3206000F,0.025672565232036426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.051457812499999,0.0
0631000F3206000F3206000F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,0.0,0.0,-3.0,1.5,0.0,0.0
0631000F2206000F2206000F,0.0,0.0,0.0,0.0,4.132908559781498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0621000F2206000F2206000F,13.874826318042484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00A4000F3308000F3308000F,0.0,10.0285290568992,6.474671798739714,9.213830295453759,0.0,0.0,0.0,0.0,0.0,21.267867413680108,0.0,0.0,0.0,0.0,6.607483445914523,10.630025529505,6.03638537592018,0.0,0.0,6.054718270893506
1081000F3106000F3206000F,-9.0,0.0,0.0,0.0,0.0,0.0,-4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0091000F3106000F3106000F,0.0,0.0,-7.5,0.0,0.0,0.0,0.0,0.0,1.2000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.94710754173491,0.0,0.0,0.0
0083000F3207000F3207000F,0.0,3.9668911179210813,0.0,0.0,0.0,0.0,4.1134869459692585,0.0,4.265757823650614,2.712828184256526,3.5729628969392095,0.0,0.0,1.7851310026357883,2.70416001489893,0.0,-0.5336918517355027,10.046228097823857,0.0,-0.1695789386195239
00A2000F3207000F3207000F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.855166736741441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1083000F3207000F3207000F,0.0,0.0,2.8516064421765233,8.974831604044788,0.0,0.0,5.626438989665299,5.2630663825518385,5.510638127643405,1.0067772824119725,9.377231325101738,0.0,5.635405679114594,3.0581115226410382,0.0,0.0,0.0,5.521965909263797,0.0,2.567459689333907
00A2000F3108000F3108000F,0.0,0.8726109258077757,0.1778695025618653,15.78251052550458,2.660448620583633,-2.0207757559045043,1.2674687755152885,0.5437959849815011,-2.9117971266083473,1.937096922714125,1.6997455397535375,-0.06635253097423854,1.1771925111114396,-1.060486302172295,0.0,-1.12051379901397,-0.4642030078653221,-0.890899032710669,-2.23549114725468,1.1009822390563162
0620000F1160000F1160000F,0.0,0.0,-1.0779209846922808,0.0,2.610928384557429,0.0,0.0,0.0,0.0,4.212704422506798,0.0,4.098581356340794,4.2439591179205145,0.0,3.3297614690918436,0.0,8.023138549287124,0.0,8.830331663037525,1.4425118428068573
0631000F3106000F3106000F,0.0,0.0,-0.2567415402452351,0.0,-3.9310083313597666,-4.5,0.0,0.0,0.0,6.353090045695277,0.0,0.0,10.093905605237097,4.5073338981471,5.72044049957928,0.0,-0.59625,6.160797056291985,0.0,8.154310717463511
0082000F2106000F2106000F,0.0,0.0,0.0,6.9246458482323465,0.0,0.0,9.524367480656231,1.8075,5.965407495765372,0.0,0.0,0.0,0.0,6.134850727741169,0.0,0.0,0.0,0.0,0.0,1.5393834346318331
000C000F000C000F000C000F,2.5403030313415114,2.2063560583104422,1.3819089071091781,1.5683818381076853,2.289433102603056,1.155962717172771,1.7696284703369007,4.756724078672837,3.4090310073703667,1.3835632785076886,1.1327879872008388,1.8168980623335564,1.334913264426962,1.2716262435863421,2.247984510065037,1.4258601110946392,1.9185297297707882,2.237712488414438,1.193124406562325,2.303243700339295
00C3100F3400A00F3400A00F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.575875972517817,0.0,0.0,3.685745881346951,20.50705028989054,0.0,0.0
0074000F2207000F2207000F,0.0,0.0,0.0,22.91065465691396,0.0,11.47123683678824,0.0,0.0,0.0,0.0,10.68750685654279,0.0,0.0,0.0,0.0,0.0,0.0,13.147430393038015,0.0,0.0
0096100F3400A00F4300A00F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7124999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.3875000000000002,0.0,0.0,0.0
0096100F3400A00F3400A00F,-5.325,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7683996086104443,0.0,0.0,0.0,0.0,0.0,0.0,-1.8197001358477989,0.0
00A2000F2207000F2207000F,1.865767723182077,0.0,-3.0,0.0,3.0,0.0,0.0,-3.0,0.0,0.0,0.0,7.25105430750569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
