,action_TFC_000,action_TFU_000,action_TNC_000,action_TNU_000,action_TFC_025,action_TFU_025,action_TNC_025,action_TNU_025,action_TFC_050,action_TFU_050,action_TNC_050,action_TNU_050,action_TFC_075,action_TFU_075,action_TNC_075,action_TNU_075,action_TFC_100,action_TFU_100,action_TNC_100,action_TNU_100
0643000F3216000F3216000F,2.185401588143492,45.854991850808645,-20.620039906954908,25.876015450871886,-0.4549930343209483,-8.707647800934312,4.040559493645498,-5.308936460276888,0.36946057100354945,-1.455837081704587,-14.53678629292205,-2.0915659517965945,14.230944219563515,1.2863543102965913,-18.119386949974864,6.125313668493555,-9.942445112904387,-7.700585041069905,4.4692523884922295,11.563648951373736
0643000F3307000F3307000F,38.371986118850266,-9.0,-9.1703904768357,-7.756748000612994,-2.6672445888344454,-10.725000000000001,-8.895,-8.43485036062927,0.3163777055827772,-6.0,-13.451681230980906,-6.0,-7.565150205525354,-6.0,-11.190682565341671,-2.1879307804346735,-8.99625,-8.632559973297276,-6.0,-8.85
00A4000F3308000F3408000F,-16.512871135509148,-4.410916183746847,-24.0,-10.5,-13.5,-12.563117545106504,-11.25,-13.7367234375,-11.625,-16.10625,-12.75,-17.102107338523098,-15.3375,-14.105202592167052,-11.1,-16.65,-10.8375,-15.639523978365478,-12.9375,-13.7625
00A4000F3308000F3308000F,-9.0,9.455621290628988,-6.897176988629603,0.0,4.263521845197541,-4.6390053906410476,-13.0875,-4.5,-5.248103448540066,4.538546174328905,-9.097267334993148,0.0,-7.215602571759742,-10.750781250000001,-10.5,-16.5,10.853799756885426,6.488727664744943,-10.043754476242523,0.0
00B4000F3308000F3308000F,-9.014736368623943,-7.967543165668213,-13.5,-9.75,-7.4004706939448415,1.2032640634970146,-10.675234404873251,-9.697447880174469,-10.5,-9.588900790054558,-8.87592147694979,-16.5,-6.241598685711438,-17.625,-12.459375000000001,-9.75,-14.44757618969221,-6.375,-11.5125,-5.4214636168952826
A210000F3307000F3307000F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00B3100F3400800F3400800F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00A3000F3308000F3308000F,155.22141277958818,0.0,0.0,43.992555066591606,0.0,0.0,0.0,0.0,0.0,0.0,21.82168100497544,0.0,0.0,0.0,0.0,60.80403746394305,0.0,0.0,0.0,0.0
1092000F3207000F3207000F,62.420366444464406,0.0,0.0,22.5,0.0,0.0,95.66549079956634,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.80361675468373,0.0,0.0,0.0
0631000F2206000F2206000F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.36844253605643,0.0,0.0,0.0,180.89012787735678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8300000F2206000F2206000F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.8434454419288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D000000FD000000FD000000F,4.826300504219498,3.7436986129543715,4.853183018550109,5.725144364859084,8.174171574731059,7.812579774483668,4.800440332511847,4.595737768977037,4.661282951694355,7.6692219952093375,4.297724262637535,4.4312724121148825,3.446779112708844,8.104061906641864,4.687885480658569,7.7404507990985,3.925245710845629,4.786946687128202,6.208268741026711,3.2371179259201126
terminal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0733000F3307000F3307000F,53.877094081860065,-14.670296817121015,-17.00625,-13.395490044304232,-11.762700144193328,-6.002714273836139,-14.058831609267958,-10.288204950729776,-16.65211547199997,-4.063443963830302,-15.811729728391825,-23.75340114730414,-0.4713233176454068,-12.595638605034186,-3.3592985262966355,-7.661271962896784,-12.355271261228891,-12.93555350941504,-7.622902889908929,-10.202569719406753
00A3000F3307000F3307000F,27.324322880151612,42.22542839080266,-4.883029761401925,-18.0,19.365193331196025,0.0,0.0,0.0,-3.0,-3.0,57.10664499196423,-12.9375,0.0,30.241149522341274,0.0,0.0,0.0,-22.396605468749996,-9.0,25.406782268698628
00A4000F3307000F3307000F,-12.0,0.0,0.0,-4.327885116915883,-4.309462286772688,-5.315314453125,0.0,0.0,71.7874215407364,0.0,-15.0,0.0,35.97138765883083,-3.75,45.26174953943428,-6.75,0.0,-12.756048983462964,-18.43115334902309,-5.9246880231378976
0632000F3206000F3206000F,0.0,54.200526418082966,0.0,-4.5,0.0,0.0,0.0,-3.0,0.0,-13.5,0.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0094000F3307000F3307000F,0.0,0.0,0.0,0.0,10.738072391677292,-1.7792755237202265,97.0882747951346,0.0,-0.48375723897853007,0.0,-7.696072193531389,0.0,9.160967531571089,-3.0,0.0,-2.3386977265702713,-9.0,-7.5,-6.0,-3.3780244917314817
1094000F3308000F3308000F,109.0657212526169,0.0,27.6583244446938,101.00105056451463,65.31690745507319,0.0,0.0,230.0122176156203,126.72030754919064,107.45844446386194,128.52136951926082,43.32907654362513,0.0,31.13295482733623,0.0,0.0,0.0,17.962500000000002,0.0,93.6910126883194
1095000F3300A00F3300A00F,0.0,0.0,0.0,40.346369895016025,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3581317577567535,0.0,0.0,0.0
10B2700F4410C00F4410C00F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.48058559003002,73.70912962510496,0.0,0.0,0.0,0.0
1095100F3400900F3400900F,0.0,0.0,0.0,0.0,0.0,79.2553876315542,0.0,0.0,0.0,0.0,90.02280990728724,22.5,152.30864242153356,0.0,0.0,0.0,0.0,100.19155302292356,0.0,48.30491353532081
0096100F3400900F4300900F,0.0,0.0,98.26642427533974,0.0,0.0,78.10702347332992,0.0,198.83745309873524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A200000F2207000F2207000F,7.105520668365675,0.0,58.51070055377713,26.248758940852362,13.067562403802153,13.388223038735042,2.840827282894246,10.066179711035618,64.76160270413371,10.425378613904385,11.184209610559886,9.544647713085531,0.0,9.562077459813029,0.0,11.508272225371348,17.818443178977297,38.25230219873433,0.0,4.938440547026377
