,action_TFC,action_TFU,action_TNC,action_greedy,action_DFC,action_DFU,action_DNC,action_DNU,action_retreat
0534000F1315000F1315000F,33.54572445184998,40.40604289667447,16.89168331080117,31.775407610398997,30.916388793703177,28.557392603692215,26.011787190824172,32.16473908358345,22.431283320475337
0623000F3207000F3206000F,18.0811468794883,40.849034736630045,23.560141201793066,27.479394329271543,28.199075141959142,30.327496345338282,27.514933632368805,15.836706141731637,18.80463063289205
00A2000F2208000F2208000F,24.131566560091976,25.71167457655364,15.739197536707024,28.261022511883496,19.58403403602256,28.07195823411407,28.18803026037605,28.37255340726594,18.636338104066226
0096000F3209000F3209000F,-1.65,0.0,0.0,0.0,0.0,6.012156345187199,17.697416398026675,10.8716520383846,0.0
000C000F000C000F000C000F,6.6283108705991705,13.627573560989358,13.075119552718395,13.121005397780461,7.447201352097357,13.354212994587293,6.988802110956758,11.381014742509997,11.372305350927391
terminal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00B4500F2330B00F4130B00F,9.269292464763721,31.013698660054615,11.99534643700063,32.06720296172655,29.59508404826626,34.50051014375941,38.46949233746676,31.708164008902834,6.542802529891171
00B3100F2320900F4130800F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.232687770143766,0.0
0095000F3209000F3209000F,-3.0,1.5,2.7,24.62761324947472,21.125760859786826,24.81579242799988,25.36344403793739,0.0,8.09631270979435
0080000F0080000F0080000F,12.631905097457732,11.768025001660089,0.0,6.766457780384741,0.0,10.135496734398096,29.811916483823275,2.686202951182479,14.007069593344706
0070000F0070000F0070000F,14.800913154298332,10.339178554592062,8.104095210722154,15.52542198457023,5.241875604472074,15.934764398677508,8.165485628422113,15.790905073895226,13.533167376897602
100B000F100B000F100B000F,11.683227334642662,13.691263619440369,9.270574283975943,14.282751365564724,10.627675605500619,26.919940456034475,12.747000455274161,15.620891679955385,7.014233250669118
00B4500F2430B00F4130B00F,2.2410724965328512,30.708988143362127,0.0,0.0,0.0,0.0,14.19110152563213,-3.0,0.0
8440000F1330900F1330800F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A611000F3230A00F3230A00F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E132000F3230B00F3230B00F,0.0,0.0,0.0,0.0,0.0,0.0,8.775,0.0,0.0
00A4000F3308000F3308000F,0.0,0.0,11.227136999778853,0.0,0.0,0.0,0.0,0.0,0.0
0074000F2207000F2207000F,0.0,0.0,0.0,0.0,0.0,21.537059532706337,21.537059532706337,37.573723379380084,44.468048931917174
D000000FD000000FD000000F,0.2208901064091724,22.601014392160153,7.93551085658483,7.6406193795149635,0.0,0.0,0.0,8.895723605769195,0.0
0623000F3207000F3207000F,-6.0,47.744658954237444,10.978800114535137,12.914981742529788,0.0,-1.5,13.187584988992107,0.0,8.159446601347923
0630000F2106000F2106000F,0.0,0.0,-2.325,3.2653125,0.0,0.0,0.0,2.6559250014949276,-1.5
