,action_TFC,action_TFU,action_TNC,action_greedy,action_DFC,action_DFU,action_DNC,action_DNU,action_retreat
0092000F3207000F3207000F,-44.55713853728387,-20.73058179707585,-10.381407388086364,-4.382377647920071,-5.295153641803124,15.154809339457005,-2.854378563998596,-5.07616110400955,-5.739305946132865
0093000F3207000F3207000F,-33.096004876961985,-16.507319589376017,-35.200851005817555,1.2459306929594645,-28.32176171178359,-23.690621195194083,-20.082619523506402,-26.642863493122803,-34.67598014389417
00A3000F3207000F3207000F,-9.0,10.51394922479884,-18.15,-14.307272159567663,-7.5,-8.738026665040993,-7.384175146830508,-5.739707242973175,-28.741669394490074
0641000F3206000F3206000F,0.0,0.0,-3.0581894117578603,-6.0,0.0,0.0,4.320333365231475,0.0,0.0
0092000F3107000F3207000F,0.0,0.0,0.0,-0.2374359759256368,0.0,18.997076207723797,0.0,-6.0,0.0
0092000F2108000F2108000F,-9.0,-1.5,0.0,-2.25,-36.0,0.3706654636695901,0.0,10.996807354022867,0.0
0093000F210A000F300A000F,0.0,0.0,0.0,7.352368118891918,-3.0,0.0,7.34607780541259,-0.75,-6.0
0093000F300A000F300A000F,0.0,0.0,0.0,-3.0,-1.5,0.0,-0.8280982354919555,-1.5,4.841111096089682
0094000F210A000F2109000F,-1.4697278176711186,-1.021198092093214,-0.1499999999999999,-1.5,9.987666139258305,0.0,-18.0,0.0,-2.8208031340923663
00B4000F3100B00F3200B00F,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00A5000F3200B00F3200B00F,14.271637839389442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00A4000F210A000F210A000F,0.0,0.0,-0.8806307277180978,0.0,0.0,0.0,-2.3948409727951963,7.211336817879807,-4.5
0093000F3009000F3009000F,-5.41086919921875,3.035010566251181,1.2671469062848009,0.0,0.9568711616215825,-0.8644220893377845,4.8727769745668645,-0.9772204848518604,-30.0
0082000F2106000F2106000F,0.0,0.0,-14.4,0.0,0.0,0.0,0.0,0.0,0.0
0093000F210A000F2109000F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00A4000F310A000F310A000F,-2.738321182694431,0.0,-4.5,-8.785792662344633,0.0,0.0,3.2518977884220193,0.0,0.0
0094000F2109000F2109000F,-24.904988358132048,0.0,2.7853218071298382,4.004674796224602,-1.81818929361039,-6.3967899680230005,0.0,14.514415156149095,0.0
A200000F2207000F2207000F,2.1147529739846993,2.9716077493965587,1.219552801217985,3.4743763383688755,0.8261097955333607,0.5757210299763322,1.3209790312994611,2.266190678647552,24.3356974730684
terminal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00A3000F3208000F3208000F,-2.3695175625898672,-6.621595893832883,-4.5,-10.273029124473656,1.2484391161583943,25.29150446490735,-3.0,-8.610534445572451,-15.0
