,action_TFC,action_TFU,action_TNC,action_greedy,action_DFC,action_DFU,action_DNC,action_DNU,action_retreat
1086000F3400800F3400800F,3.3096696410752715,25.466602321506823,16.192268274665032,11.7762225956881,12.470698004786637,18.165436710259343,17.82470929792929,17.006264629371497,5.872880852957172
0095100F3300900F4300900F,1.7557917718533957,6.384231535013344,0.06554030897254037,28.707888847339706,14.155665127380374,19.743402868968353,17.193091380483704,21.38882751922391,-4.573838387219421
0095100F4209000F4209000F,12.793663966595668,15.66806018962004,16.165981460445437,19.270753980431156,15.581453425154919,20.682069218356027,23.693100924399054,20.66683571592648,5.496828863056036
00B3000F3109000F3109000F,0.0,8.720291536405174,0.0,0.0,0.0,0.0,5.847235751230869,-2.625,0.0
00A2000F3108000F3108000F,0.0,0.0,-6.0,0.0,0.0,-1.8859691646534777,-2.265708095640399,0.0,6.237400489976052
0095100F4300900F4300900F,0.0,3.0,-1.2860963467993023,0.0,-3.0,-3.0,-1.4616515625,0.0,1.2674072766869253
00A6200F3500B00F3500B00F,0.0,1.1324999999999998,-2.3587499999999997,-2.53875,24.057471733212072,0.0,0.0,0.0,-3.0
00A2000F2207000F2207000F,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5
A200000F2207000F2207000F,0.0,7.641511792006124,12.598596636919694,12.654680321279557,10.775958791475809,8.644632230896502,19.26007123620122,19.845873506238974,11.917347281698078
D000000FD000000FD000000F,4.4040165397143864,20.187383338226738,0.0,7.510734164072461,12.737587854296923,6.7894170659422,-0.005666747704047792,2.7775770138897937,0.0
terminal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10A3000F3208000F3208000F,-3.0,21.624161339182407,-8.625,-3.0,-3.0,-3.075000000000001,-6.0,-7.575,-6.0
0092000F3107000F3107000F,-3.0,-0.23473264010920314,0.0,0.0,0.0,11.509675935828836,0.0,-12.0,-12.0
0091000F3107000F3107000F,0.0,0.0,0.0,11.20973613154438,0.0,0.0,0.0,0.0,0.0
0092000F3108000F3108000F,0.0,-3.0,-3.0,0.0,0.0,10.656143273296063,-3.0,0.0,0.0
10A3000F3109000F3109000F,0.0,0.0,0.0,0.0,-3.3,0.0,0.0,0.0,0.0
1095100F3300900F3400900F,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0
1093000F3308000F3308000F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1085100F4300900F4300900F,0.0,-7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1094000F3308000F3208000F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
1092000F3207000F3207000F,0.0,-6.0,0.0,0.0,0.0,-4.5,0.0,0.0,0.0
1082000F3207000F3207000F,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1083000F3207000F3207000F,54.1112391347734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1081000F3106000F3106000F,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0092000F3207000F3207000F,4.761821393109075,-4.5,0.0,-3.838050539062499,0.0,-1.0394429635797366,-1.7155183155793554,0.0,0.0
1083000F3107000F3107000F,0.0,0.0,-7.5,0.0,0.0,0.0,-12.0,0.0,0.0
1091000F3007000F3007000F,-3.316143742911249,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
10A3000F2308000F3208000F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1085000F3400900F3400900F,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1093000F3208000F3208000F,0.0,-0.7240468265615094,0.0,0.0,0.0,0.0,5.7,0.0,-4.5
00A3000F3208000F3208000F,3.041838952388471,7.075879746503773,2.7561408479718343,3.928059436660406,11.608492836216243,10.871897588853395,-3.2104357375817134,3.0078362402452523,-3.0
10A4000F320A000F320A000F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.5,0.0
0093000F3109000F3109000F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00A3000F300A000F300A000F,0.0,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1093000F300A000F300A000F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100E000F3200B00F3200B00F,0.0,0.0,0.0,0.0,0.0,16.5,0.0,0.0,0.0
100E100F3200B00F3200B00F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000F100F3000E00F3000E00F,46.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000C000F000C000F000C000F,8.474676842262879,13.720687272199052,8.115582147329572,3.7080076140233222,8.251164523928432,7.872509016300547,9.129133755878843,5.52727509541552,8.19976702612568
1086000F3400900F3400900F,4.211096047215242,13.127542532126228,4.185079581195195,25.798238412499245,16.250896145683235,22.56228169653025,6.420329212060967,25.204960920097694,6.664250137210081
10A4200F4400A00F4400A00F,0.0,0.0,0.0,0.0,0.0,-3.0,6.0,-6.0,0.0
00B5200F4400B00F4400B00F,-2.7606929140010976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.5
00A3000F3209000F3209000F,0.0,21.554667597481004,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
00A3000F3209000F3208000F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.62510248997556,0.0
A210000F3208000F3208000F,0.0,0.0,0.0,15.599316123126556,0.0,0.0,0.0,0.0,0.0
0631000F2206000F2206000F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.06341167045774
0621000F2206000F2206000F,0.0,0.0,0.0,0.0,34.89756987982257,0.0,0.0,0.0,0.0
1095000F3400900F3400900F,0.0,16.084682002909933,-4.5,-3.983658665065063,0.0,0.0,0.0,-3.0,-7.5
00A5200F4400B00F3400B00F,-1.988904098891283,3.281996060672668,-0.2096198227563919,0.6058842505854005,0.0,17.56143917376319,2.3699989589156423,1.1615227926222929,-6.603635344999432
00B2100F3200A00F3200A00F,0.0,11.35598189755078,-5.147194048906856,1.9148585451239075,3.266410136265151,0.0,0.0,0.0,0.0
