action_TFC,action_TFU,action_TNC,action_greedy,action_DFC,action_DFU,action_DNC,action_DNU,action_retreat
69.0,-3.0,0.0,-16.5,52.5,-1.5,0.0,-10.5,0.0
9.0,79.6385115140145,102.0,82.51173082787425,232.98394381466164,-39.7125,-25.5,250.398375,107.02530581249756
-18.142406210026806,372.1386632881355,67.77301875,220.88709564190316,207.4806218230787,-2.4431472919889394,-32.79375,223.22593513375983,635.7017020683027
140.82117691416855,403.3859663461112,139.03374979591206,326.08941879137217,453.23156077204914,45.25028164523563,145.675151188058,334.2865452846279,662.3647289788748
226.17621774265677,331.7517186642691,58.74016924544455,334.4695537727423,639.1999311362486,402.0258792759138,163.50703850000437,343.44324464839787,1053.6323829206144
264.5880600159212,576.1492847625038,304.6472072885505,484.402220687605,735.1618554414488,426.1258338560721,336.1093530550694,383.4935394377427,1057.04531707575
411.4068534954797,693.699020568127,163.66492135960792,703.6657094391973,827.8715675670674,536.2534414414587,474.2253821408465,549.3942001338867,1098.1874255096104
710.2713674021838,852.5654704043626,312.08453207174944,617.442323950545,795.7245151781459,838.7059859729677,628.9341450399672,519.664419266432,1213.7675800998686
777.9801119387232,1086.7029210856247,425.58519094197686,512.7154933675124,892.3314309697847,770.8435005610852,696.1298649404241,956.5278653293233,1339.727792931079
777.6293387730334,1138.875777858595,428.4182217275289,535.2839760499004,1065.7279903518227,839.4988166274845,1040.3358267633323,939.3918506257903,1490.590646758906
872.3633236857748,1191.511023111996,570.6953219538495,604.7861502636457,1096.9645675785669,1121.597359360205,1100.7942885776652,1186.240367724929,1504.8697087988621
935.6732089308555,1273.7023981832997,537.80854082036,606.826296923655,1220.5906243478971,1239.092677797644,1238.0107500117592,1584.3098736694997,1518.9966613581687
1147.9613208852436,1522.8861530347867,585.1989837767736,800.4820481119705,1144.2202113643248,1222.70395658409,1526.5750516784349,1612.9808019063275,1517.3554064315704
1159.146036749045,1452.941099573664,582.540825831016,863.4293827511257,1194.910021711019,1238.2688506535574,1818.0027051141728,1766.7017721708035,1751.9263734676547
