,action_TFC,action_TFU,action_TNC,action_greedy,action_DFC,action_DFU,action_DNC,action_DNU,action_retreat
1083000F3206000F3206000F,-7.6800415531246005,12.463872052968496,-4.930554955704954,18.78898497140137,9.902201476343084,11.116223775521755,12.358207589051272,5.301059681452108,-2.4144434154547967
1092000F3206000F3206000F,0.0,0.0,1.693456217318218,7.630216375839382,0.0,0.0,0.0,8.45490026747041,0.0
1081000F3106000F3106000F,-9.0,0.0,4.085442065493798,0.0,0.0,0.0,0.0,0.0,-3.0
0080000F2105000F2105000F,0.0,-3.0,0.0,0.0,-9.0,3.0,0.0,0.0,-6.0
0080000F3006000F3006000F,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0
1081000F3007000F3007000F,-3.0,0.0,0.0,0.0,0.0,0.0,-9.0,0.0,0.0
0080000F2060000F2060000F,0.0,0.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0
1081000F2106000F2106000F,-3.0,-1.5,0.0,-2.61,0.0,-6.0,0.0,0.0,0.0
1081000F2106000F3106000F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,0.0
1091000F2206000F2206000F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0530000F3150000F3150000F,0.0,-4.5,-2.795964270264109,0.0,-1.5,-1.5,0.2548086757416006,0.0,16.779532290781066
1083000F3207000F3207000F,6.972548090087704,11.785632307870134,-4.438999210125977,15.338663537372572,11.209715534047806,20.35772264772955,10.138510533988793,16.88989733406671,3.0323084567139014
0074000F2207000F2207000F,21.54389581625318,10.387196309803027,0.0,0.0,27.75908977793946,18.2035427899833,17.80508906288905,22.450158946901748,9.837665089347542
A200000F2207000F2207000F,42.57252491596493,9.601582787661545,9.856633214921269,9.875210170413055,5.6868796206299885,13.242676863390896,9.904452268726871,5.879089880235362,10.974643410254092
D000000FD000000FD000000F,4.479727818926918,1.0066020561583355,4.435306518700397,8.044463792550465,5.17464605259933,1.1520769776033823,4.539099381683744,6.033735191900059,2.7537670610149627
