,action_ATK_nearest,action_ATK_nearest_weakest,action_MIX_lure,action_MIX_gather
92,1.2000000000000002,0.0,0.0,0.0
99,3.2932259422708112,0.0,0.0,0.0
9A,0.19312853996430768,6.039260725613747,0.22124664970056,0.0
B5,5.644950642639846,6.331528631098037,10.89853090421767,3.8109945657311197
A4,4.368351284200952,0.0,0.0,0.0
94,1.0427146315716187,0.0,0.0,0.0
86,0.0,0.0,2.3529251218025227,0.0
79,0.0,0.191459132290684,0.0,6.722469498911531
B9,0.0,0.0,0.0,0.0
AB,0.0,0.0,0.0,0.0
A9,0.5359611930353516,1.0741680251947434,2.8909123698526797,0.42844830999900707
A6,2.661835390958998,0.0,0.0,0.0
terminal,0.0,0.0,0.0,0.0
97,5.6376859996263935,0.0,0.0,0.0
AA,-1.4680042325979397,0.0,-1.6516824599641962,5.0376539966844085
95,6.5446889809365585,0.023578265700000003,0.17873953401333048,0.24761358696517763
A7,5.964320450888752,3.4163579466077203,3.4150658133257763,4.195847084670971
78,8.283612295461943,0.8478016659622027,0.0,0.16419295861333696
B6,0.0,0.0,3.0,0.0
89,3.6044877561044206,0.0,0.09308361013282491,0.06558193252702016
2B,0.0,0.0,0.0,4.401222183927862
77,0.165771209428898,0.0,0.0,3.7455715112956995
69,8.255334188843953,0.0,0.0,0.0
8E,0.0,0.0,0.0,0.0
96,0.14885391952292645,4.893415587624576,0.0,0.0
87,-0.5846155989103594,9.395830938754521,-0.273,0.0
7A,0.0,0.0,0.0,4.278494257475413
38,0.0,0.0,-0.5861540390193235,0.0
A8,0.9752303229902193,6.2837575415180424,1.2428024742198884,0.9859447479767062
8A,1.3059625520993565,0.0,0.0,0.27233177910711387
68,2.2130626674111085,0.0,0.0,0.0
4A,0.0,4.019184192481784,0.0,0.0
B8,4.463314116752148,0.0,0.0,0.0
88,0.23262141633567485,0.3398377763985512,0.4336937595710781,1.2879178406030112
3B,0.0,0.0,0.27,0.0
1C,6.611387529014271,0.0,0.9804842620660863,2.5315852933498015
8C,0.0,0.7933469115763867,0.0,0.0
1B,0.0,6.250913311626784,0.0,0.0
6A,0.0,0.0,0.6679557048264416,0.0
5B,0.0,0.0,0.0,0.0
3A,0.0,0.0,0.08331077140874428,0.0
8B,2.927902759868254,0.0,0.0,0.0
98,0.0,0.0,1.2726663340452866,0.0
76,0.0,0.8794500000000002,0.0,0.0
2A,0.0,0.0,1.406210485516401,0.0
59,5.621419457722018,0.0,0.0,0.0
39,0.5263215660172241,0.0,5.285010090305956,0.0
58,0.0,0.0,0.0,2.153664016607129
1A,0.0,0.0,0.934159112422011,0.0
4C,0.0,0.0,0.0,1.2841618434322744
0C,0.0,0.0,0.0,2.8727346667735123
9B,0.4057730918412461,0.0,0.0,0.0
A5,0.0,0.0,0.0,2.7532937748857744
5A,0.24246910045402226,0.0,0.0,0.0
49,0.0,3.130537071449684,0.0,0.0
