action_ATK_nearest,action_ATK_nearest_weakest,action_MIX_lure,action_MIX_gather
-2.7,0.0,0.708,4.512,-0.19199999999999998
19.871854608232226,0.32016809249337674,9.549593494578627,17.58508693582423,2.8013131644691125
41.64155630523109,6.017341044968891,23.876247002623078,26.851138558428882,16.57693300160366
52.55322225260584,7.080660259780804,35.18190214695426,43.067753085206355,31.985487986473885
67.14682114716308,18.07758697940254,39.90309035366334,61.25771559934682,45.631134903548386
84.36812516970733,23.518750052114115,57.10110906785846,80.65420176675802,52.5496312278663
93.97007748822284,27.553850528387596,64.57245392328718,97.01934262620672,69.12200019918113
102.20401188225286,41.57257302544947,63.902065854275804,123.39215301112459,78.08555177339016
115.36445363646617,55.01110176386213,69.2702250215695,140.00911107826215,90.21762497749458
116.11851216991849,61.303570423514,84.28886629892042,154.67930304859394,94.64576406353251
127.50366373405716,66.04695727366783,92.16185309583162,182.14558061824022,99.42869175928001
135.37029376150724,83.57599724219764,106.08941945604505,198.52838363461314,106.07044689661254
149.1240891378559,84.86110195383469,107.43748058125684,219.45168602641363,120.1642565360176
169.7836344722147,92.49988844416677,106.09940025719473,236.95021322701731,125.46854744505308
171.41825592182187,107.05559079892294,119.91847590554991,258.6859785039536,127.43870780420754
191.98305962086658,109.68961051388143,120.4076754119118,266.4874428240871,140.7412784628893
200.2034305665856,113.7062236915439,120.11641327189946,282.57439496371416,153.3913723669988
213.0637385303878,131.34516476266006,132.06700881844188,276.9757398168539,162.57722671436426
221.69892446498596,138.19539353653656,147.87994939464662,292.30865612645107,163.65024036515416
222.74319664400826,149.8244905653801,151.88212949480067,317.8032308476179,166.11662129375918
226.5852869663217,159.864413254746,165.28545955363455,321.89399035957814,169.21850200815976
223.31183846593584,177.043147281625,187.83449110397774,328.3379364743582,177.83473256033062
233.26311333806422,180.55862876854948,198.95695800867708,337.288869927506,184.38279481052098
240.66187723250698,196.40632907575218,198.09700999934415,357.22943648376145,192.29593623116432
245.13890025592053,200.18458984001023,195.87018701050454,366.79401400609663,205.12825939801436
255.24876673040347,206.00842223122999,206.51590684283738,377.6004289760229,210.29453102286516
258.05668176907454,222.15569482053698,205.84563854786217,379.58509737299175,220.7081179102273
253.69974056174783,237.64133501847104,221.84938273000705,394.97901281784925,223.21521438642338
256.0149800446842,242.70787885371922,215.7794392095857,415.2803553419919,242.47260496352678
262.81463587213864,258.22085453526995,209.24509529694984,425.89179216256946,249.0103869404212
276.0737242953752,263.50962303739794,220.57803226646857,429.64139496477617,253.98253757829008
270.53874184200345,277.89148714850705,233.16738127251057,430.3958841327469,263.31360035166085
275.2485147407972,279.7611226734365,238.36925902773413,442.29643098383787,276.2154785614662
277.46384572971044,291.39536357001145,237.62345462927203,471.25514127631493,273.56749913225383
298.85524500068686,296.41649872629125,243.02404610266882,473.7325444079871,290.0862323924558
305.2360435953953,305.7873278608179,254.8573328604716,483.9705648320658,292.20298267093955
309.60359730374705,313.34480617347094,263.21342372661195,493.05490028036536,291.66440930548936
306.9373863905598,318.70391459843364,263.21900756618163,505.91722657774307,308.27251805025554
314.5032552341759,327.5070433861571,268.04562825614255,515.3309074099575,315.218849540104
337.7846586877762,333.3111362128577,273.0947479877002,522.6389425557575,315.59934286566187
343.9409557967188,336.4953653347447,293.72512758350615,517.9541606695734,315.72360075422944
342.4901165470627,344.9491891183691,300.1125151717908,524.9898872785841,318.66363051021466
352.91406625030885,356.88569993809176,307.107682521355,535.7563849472341,317.8566362877053
353.23913349351545,359.33767476880575,309.8621465790004,555.6078443655094,323.5114017193171
361.12100599382364,359.16104731945177,320.7089045694787,558.9089039801601,324.7498373434016
361.20910228641094,361.232878284152,332.5122305103834,558.6881413958362,337.09066682202916
369.0872857028484,369.9652874828846,340.40936044774065,566.6625699459736,337.77017139788626
381.7193450257234,376.28493482764577,334.79920255023904,565.8129159481028,345.953520283531
384.4820412985823,383.9160361432582,334.3764992277234,574.1644102991229,354.81707710873593
389.79125666737633,390.7754421099149,336.52410111433727,576.0934445827997,358.5642897427407
396.24479199894665,399.06199012113916,336.62027747744395,576.857170690704,369.76708369479275
