,action_TFC_000,action_TFU_000,action_TNC_000,action_TNU_000,action_TFC_025,action_TFU_025,action_TNC_025,action_TNU_025,action_TFC_050,action_TFU_050,action_TNC_050,action_TNU_050,action_TFC_075,action_TFU_075,action_TNC_075,action_TNU_075,action_TFC_100,action_TFU_100,action_TNC_100,action_TNU_100
00000000000000000000000000000000001300000000130000000000000000000000000000000000000000000000000000000000000000000000000000000000000000210000000023000000000000000000000000000000000000000000000000000000,-20.786852442364264,-11.300627605919292,-38.270048732176775,-9.279407604918807,0.8915021075390683,1.7399066867011588,2.1465108503674557,3.7755639225161826,-4.088043420664265,-7.810950896105016,-0.599264799978322,1.1418353730127109,-8.026150335680585,0.7349558196003496,2.0741797450745008,0.5581727815913453,0.9457768424604249,-5.754502741877291,2.439049877122293,2.221809811476684
00000000000000000000000000000000001300000000130000000000000000000000000000000000000000000000000000000000000000000000000000000000000000210000000013000000000000000000000000000000000000000000000000000000,-6.584068348619503,-10.125,-21.0,-3.0075000000000003,3.558269463235087,-3.2745321237940317,1.9652807723088532,-0.940936277969568,-1.5247720110221348,0.9329531316590409,0.14306804364835557,1.2723461370291744,-3.7597746650967174,-1.3859974829233472,-0.6743604677569213,-0.24999369768192814,1.6738048381221828,2.0773948748526663,0.0,0.5059756739289067
00000000000000000000000000000000001100000000130000000000000000000000000000000000000000000000000000000000000000000000000000000000000000210000000013000000000000000000000000000000000000000000000000000000,-26.4,-16.913484375,-32.009021484375,-16.65030337036088,-17.145546574467595,-18.973195446451697,-13.615814206331516,-13.823849700522022,-1.7120140923361524,-16.990617414695016,-22.282127544653484,-15.136139500467806,-15.522592927429208,-14.742552093516501,-16.079299462653292,-14.024097487681306,-15.699287366424075,-18.10372497187119,-22.345328884846573,-15.674917966403031
00000000000000000000000000000000000100000000320000000000000000000000000000000000000000000000000000000000000000000000000000000000000000210000000013000000000000000000000000000000000000000000000000000000,0.0,0.0,0.0,0.0,0.0,-2.849878124999999,0.0,-0.24093750000000114,-3.1387499999999995,0.0,-4.5,-9.0,0.0,-6.75,0.0,-9.0,0.0,0.0,-12.0,0.0
00000000000000000000000000000000000100000000320000000000000000000000000000000000000000000000000000000000000000000000000000000000000000210000000003000000000000000000000000000000000000000000000000000000,0.0,0.0,0.0,0.0,-15.0,0.0,0.0,0.0,-6.15,0.0,0.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00000000000000000000000000000000000100000000140000000000000000000000000000000000000000000000000000000000000000000000000000000000000000210000000003000000000000000000000000000000000000000000000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5
00000000000000000000000000000000000000000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000210000000003000000000000000000000000000000000000000000000000000000,0.0,-0.46738828662747167,0.0,0.0,0.0,0.0,-0.25953716357916745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.924990966363222,0.0,1.9117657466677098,0.0,0.0,0.0
00000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000210000000003000000000000000000000000000000000000000000000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,0.0,0.0,0.0,16.108832602898474,0.0,0.0,0.0,0.0,0.0
00000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000210000000002000000000000000000000000000000000000000000000000000000,4.603801527920732,-2.25,0.0,0.0,3.963554641380161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,15.534242446725054,0.0,0.0,0.0,6.57277703397161,-1.5,0.0
00000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000011000000000000000000000000000000000000000000000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.75811752952275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
