,action_TFC_000,action_TFU_000,action_TNC_000,action_TNU_000,action_TFC_025,action_TFU_025,action_TNC_025,action_TNU_025,action_TFC_050,action_TFU_050,action_TNC_050,action_TNU_050,action_TFC_075,action_TFU_075,action_TNC_075,action_TNU_075,action_TFC_100,action_TFU_100,action_TNC_100,action_TNU_100
00000000000000000000000000000000001300000000130000000000000000000000000000000000000000000000000000000000000000000000000000000000000000210000000023000000000000000000000000000000000000000000000000000000,-40.528794433593745,-4.719920690409572,-16.230113307024354,-5.920806193579471,3.748020826674688,1.0487048523255007,2.1003699375913834,-2.492960137886638,-4.418716911382414,2.1053687496362237,1.1203587655338323,-2.029454852189315,2.6996024449489453,1.3896437973277878,3.9340981404316593,1.1290153038332162,-7.210312958817267,-2.3867564643499466,-8.37687801388034,1.447976470746474
00000000000000000000000000000000000400000000040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000210000000023000000000000000000000000000000000000000000000000000000,-12.0,0.0,0.0,0.0,0.0,0.0,-1.5,-2.813748046875,-1.5,0.0,0.0,-3.6514884977938835,0.0,0.0,0.0,0.0,0.0,-2.25,20.917396429890076,0.0
00000000000000000000000000000000000300000000050000000000000000000000000000000000000000000000000000000000000000000000000000000000000000210000000022000000000000000000000000000000000000000000000000000000,-10.5,0.0,-18.0,-18.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,24.951998087025462,7.637745550137171,18.061582969046448,0.0,4.287126524657349,13.517633518292378,0.0,0.0,0.0
00000000000000000000000000000000000100000000060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000210000000022000000000000000000000000000000000000000000000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.5,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00000000000000000000000000000000000100000000050000000000000000000000000000000000000000000000000000000000000000000000000000000000000000210000000022000000000000000000000000000000000000000000000000000000,0.0,0.0,0.0,0.0,9.272441953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00000000000000000000000000000000000100000000050000000000000000000000000000000000000000000000000000000000000000000000000000000000000000210000000021000000000000000000000000000000000000000000000000000000,0.0,0.0,-12.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00000000000000000000000000000000000000000000060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000210000000021000000000000000000000000000000000000000000000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
00000000000000000000000000000000000000000000040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000210000000021000000000000000000000000000000000000000000000000000000,0.0,0.0,0.0,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000210000000011000000000000000000000000000000000000000000000000000000,0.0,9.236971956238555,0.0,3.0830744604502565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000210000000010000000000000000000000000000000000000000000000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.727824116724708
