,action_ATK_nearest,action_ATK_nearest_weakest,action_MIX_lure,action_MIX_gather
F0C3F00F,-0.6599999999999999,0.0,2.15068428139506,0.0
F00FF00F,-0.624754094706,0.0,0.6318600000000001,-0.6599999999999999
F0F00F46,0.0,0.0,4.3818320529915855,-1.2000000000000002
C30F0FC3,2.9634,0.0,0.0,0.0
F00F940F,0.0,0.0,0.0,-0.3816599999999999
A50F0F0F,0.0,0.0,0.35400000000000004,0.0
0F46C30F,0.0,0.0,0.6000000000000001,0.0
94F00F0F,0.0,0.0,4.49119446,0.0
940FF00F,-1.0134465,0.0,0.0,0.0
F0F0F0F0,0.0,6.650046233131586,0.0,0.0
F0F0460F,0.0,1.5540000000000003,0.0,0.0
F00FF046,0.0,0.0,0.0,1.3765318800000004
B6F00F0F,0.0,0.0,0.6000000000000001,0.0
940F0FF0,0.0,-2.2974,4.632284528106,0.0
F0F0C30F,0.0,0.0,0.0,4.121313813665555
C3460F0F,0.0,0.0,0.0,-1.146
F00FC3F0,0.0,0.0,2.926163706,0.0
F0C30FF0,0.0,1.3796034000000001,0.0,-0.8814
F0F00F0F,0.19323443932426154,0.0,0.0,0.0
F00F0FF0,-0.1974,0.0,0.0,0.0
F00FF0C3,0.0,0.33186000000000004,0.0,0.0
C3F00FF0,0.0,0.0,4.37603639784,0.0
C3F0F00F,-0.30000000000000004,0.0,2.4258750000000004,-1.8
46C30F0F,1.5,0.0,0.0,0.0
0FF046F0,0.0,0.0,0.0,-2.34114
0FF0F00F,0.0,0.0,1.8053826,0.0
0F940FF0,2.3898039234,0.8122824240000001,0.0,0.0
0F94F00F,0.6783000000000001,0.0,0.0,0.0
0F0F0F0F,0.0,0.0,-2.0163686186334444,0.0
F0940F0F,0.0,0.0,0.0,0.9
F0F00FC3,-1.6702326,0.0,0.6000000000000001,0.0
C3C30F0F,0.0,1.2982824240000002,0.0,0.0
0FF0F0C3,1.0067580294,0.0,0.0,0.0
0F0F94F0,0.0,0.654,0.0,0.0
0FC30FC3,0.0,0.0,-2.1,0.0
46F00FF0,0.0,0.0,0.0,1.2174600656924262
C30FF0F0,0.0,0.0,-0.187295574,-0.7378889110049396
46460F0F,0.0,0.0,0.6000000000000001,0.0
0FC3C30F,0.0,0.0,0.9020450528106001,0.0
0FC3F0F0,0.0,0.0,0.6000000000000001,0.0
0FF0940F,0.0,0.0,0.6785119446000001,0.0
F0460FF0,0.0,0.0,0.493753188,0.0
0FF0F046,0.8461863027832428,0.0,0.0,0.0
46F0F00F,0.0,0.0,0.0,0.6000000000000001
0FA50F0F,0.0,0.0,1.5298674,0.0
