action_TFC_000,action_TFU_000,action_TNC_000,action_TNU_000
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,-1.0,0.0
0.0,0.0,-1.0,0.0
0.0,0.0,-1.0,0.0
0.0,0.0,-1.0,0.0
0.0,0.0,-1.0,0.0
0.0,0.0,-1.0,0.0
-0.45,0.0,-1.0,0.0
-0.45,0.0,-1.0,0.0
-0.45,0.0,-1.0,0.0
-0.45,0.0,-1.0,0.0
-0.45,0.0,-1.0,0.0
-0.45,0.0,-1.0,0.0
-0.45,0.0,-1.0,0.0
-0.45,0.0,-1.0,0.0
-0.45,0.0,-1.0,0.0
-0.45,0.0,-1.0,0.0
-0.45,0.0,-1.0,0.0
-0.45,0.0,-1.0,0.0
-0.45,0.0,-1.0,0.0
-0.45,-0.45,-1.0,0.0
-0.45,-0.45,-1.0,0.0
-0.45,-0.45,-1.0,0.0
-0.45,-0.45,-1.0,0.0
-0.405,-0.45,-1.0,0.0
-0.405,-0.45,-1.0,0.0
-0.405,-0.45,-1.0,0.0
-0.36450000000000005,-0.45,-1.0,0.0
-0.36450000000000005,-0.45,-1.0,0.0
-0.36450000000000005,-0.45,-0.9,0.0
-0.36450000000000005,-0.45,-0.9,0.0
-0.36450000000000005,-0.45,-0.9,0.0
-0.36450000000000005,-0.45,-0.9,0.0
-0.36450000000000005,-0.45,-0.9,0.0
-0.36450000000000005,-0.45,-0.9,0.0
-0.36450000000000005,-0.45,-0.81,0.0
-0.32805000000000006,-0.45,-0.81,0.0
-0.32805000000000006,-0.45,-0.81,0.0
-0.3151235210805,-0.45,-0.81,-0.4795245
-0.29371571430957194,-0.45,-0.81,-0.4795245
-0.2683143708787716,-0.45,-0.81,-0.4795245
-0.24510980554548026,-0.45,-0.81,-0.4795245
-0.2239120348931576,-0.45,-0.81,-0.4795245
-0.21945618539878378,-0.45,-0.81,-0.4795245
-0.21945618539878378,-0.45,-0.81,-0.4795245
-0.21945618539878378,-0.45,-0.81,-0.4795245
-0.21945618539878378,-0.45,-0.81,-0.4795245
-0.21726162354479595,-0.45,-0.81,-0.4795245
-0.21726162354479595,-0.45,-0.81,-0.4795245
