,action_TFC_000,action_TFU_000,action_TNC_000,action_TNU_000
59,-10.941237108544215,-11.659354477644609,-11.527218404139417,-12.054170529392788
67,-19.35071863422204,-19.556585205461445,-20.157507576462827,-20.27318475343973
79,-2.921824070058312,-3.172295611471287,-3.2556475427014786,-3.762393761835977
C9,-17.56404898210589,-17.663081152532758,-13.492723597725949,-17.86456422339991
46,-12.323614103861456,-12.83732037019822,-13.766381091856701,-14.062009155029907
F0,-20.82007891156014,-19.338104653406774,-19.034647647839613,-17.37929734686028
terminal,0.0,0.0,0.0,0.0
DA,0.0,0.0,0.0,0.0
D8,-2.008910967272195,-0.5,-0.12015991938201642,-0.5416303789090252
87,-15.032237369621587,-15.028997455997333,-17.518552394490403,-14.842192503328398
B6,-5.854367506812247,-7.537304248962888,-5.635784735148852,-5.789249708904801
FF,-20.96636374013032,-21.15927109065354,-20.449759776743537,-19.943473377393566
6B,-8.808286351794354,-7.555494699908406,-7.3069369987930415,-6.322276690476629
98,-12.352143065360742,-16.951323532355456,-17.301337632668513,-16.843774760790037
78,-15.24640324575358,-14.725561954736825,-14.853342945248874,-14.072415374556796
89,-0.3547567732427046,-1.8863578692082144,-1.151028906639721,-0.9551987922652483
X,-5.872433596070851,-5.204108270235042,-7.370410372943111,-5.72234951024673
6C,-11.920542688628316,-13.323804473986758,-9.711438042379603,-13.364058420310432
95,-12.523859680599932,-13.236336252577162,-12.397820414392616,-13.40105938454874
94,-15.794623513058157,-15.551718683944166,-16.97009498521265,-15.39944786449849
C3,-15.412309123461986,-16.338824644394162,-15.12481909162377,-15.142518792726486
88,-9.192092235250346,-9.68147675300228,-8.9071804624323,-8.930424981722172
5A,-12.39491715500768,-11.668028238955321,-12.152376780931862,-12.171888157219858
4B,-1.0422782979853669,-0.8691799367369558,-1.6640685296449034,-1.5525342550000003
0A,-11.78373507232083,-10.911794689647486,-10.454308624489634,-11.648700433930937
77,-4.559319673276771,-5.409848511916782,-4.25868646965192,-4.951013115601999
AB,-17.246295476874323,-17.10207213682673,-10.35690586703298,-17.454371084110953
58,-1.0,0.0,-0.5,-1.0
8A,-6.547330358613246,-4.975065179159479,-6.478137329648437,-5.688748281787869
69,-11.039208920493678,-9.735828897793379,-10.231847001569724,-10.035277944306419
8B,-7.381151126804371,-6.944734499093763,-6.137401570434608,-6.2129012280701845
B8,-3.246959365897937,-2.107413218488518,-0.9854263108378201,-2.395860865201684
A6,-3.34042158027224,-1.7474167126799842,-1.8497270671292918,-1.8271385410879533
7A,-7.350630493237837,-7.039133432469668,-6.943075445972018,-7.283298495501383
A8,-5.0250028505032,-3.77903609404453,-3.483699807754542,-4.075559862543364
D4,-4.389828318450435,-2.7655292640872844,-3.249084860122803,-5.091641363984084
68,-2.0799328959864125,-1.2208602420488468,-0.6722771016155162,-2.3455
7B,-2.525073718464061,-3.0781461051454677,-1.8521001415405138,-2.7633586193540163
97,-10.268413185488356,-10.440399504250776,-10.522178923353001,-10.489639601395812
86,0.0,-1.031355292328368,-1.6240471389309694,0.0
B7,-1.6909959694393775,-1.0,-1.5855621888653235,-0.5
76,-0.5,-0.5177943911932558,-1.5,-1.151510309317537
9A,-1.15804479313585,-2.00094464560963,-1.4445454876172024,-1.2424906418459007
3A,-0.5910692989494711,0.0,-1.139498897539425,-0.9522245912845353
2A,0.0,0.0,-0.05708795400000001,0.0
5B,-1.5814139052219403,-1.858577653673773,-0.593645,-0.5840776532422515
F5,-0.17258385764572437,-2.3826685982248983,-1.1229333368809367,-0.7973088920251065
C5,-7.668649337059692,-7.49230960111032,-7.941221486276117,-6.991824685041497
A7,-2.384426780103243,-1.855,-1.8811078807543646,-2.58318317372824
DC,-3.483566055406093,-3.5792067286388116,-4.780286378929002,-4.2902327821587
BB,-2.636062925246356,-3.1417421304045323,-3.635302064323566,-2.659159513876035
D5,-0.1291375098444074,-0.09000000000000001,-1.4337450848562765,-0.9761180317115923
F1,-0.6287248214961032,0.0,-0.8939752729042765,-0.7334645944839228
C7,-2.0632112134044185,-1.0,-1.1197592441859319,-1.0775098604777051
C8,-0.2790987890775522,-0.6666005928534615,-0.5,-0.14744188946184011
B9,-0.66639378776396,-0.5,-1.3349878698947195,-0.8725505283034987
D7,-3.452545539467116,-4.186955819784282,-3.287815255583443,-2.9870375016601787
D6,0.0,0.0,-0.8056150437626791,0.0
EB,-1.5102441889461842,-0.7980684140938981,0.0,-1.0
A5,0.0,-1.2183860516897669,-0.14742840189887493,-0.5
49,-0.22741745520174295,-0.6603292513209369,-1.661708153007914,0.0
E9,-1.131263590484467,-1.9780515310592441,-1.9418666342096371,-1.895109978122456
B4,-1.1012230223752175,0.0,0.0,0.0
CB,0.0,-0.5,0.0,0.0
A9,-1.0328326325970953,0.0,-0.25011040825524783,-1.0467707220430305
DB,0.0,0.0,0.0,-0.5
ED,0.0,0.0,0.0,-0.2228902411003002
E4,-0.5,0.0,0.0,0.0
AA,-2.2492561194537095,-0.4656351885620053,0.0,0.0
EA,-0.5,0.0,0.0,0.0
DD,0.0,0.0,-0.13545240709386625,0.0
4A,0.0,-0.02588416483218205,0.0,0.0
