,action_ATK_nearest,action_ATK_nearest_weakest,action_MIX_lure,action_MIX_gather
FFAB,3.2662645601993248,-1.5,0.5296471876774989,0.0
ABFF,0.0,-0.4618770113433836,-0.30810000000000004,0.3605077728364332
F0AB,0.0,3.134404958759421,0.0,-0.9
F0F0,-1.419,-0.29167535358181274,-0.29188587622733286,2.427910071946804
FFF0,0.0,4.043485112270761,0.19500726792127404,0.3269303501421583
AB0F,8.046890590338867,0.21600000000000008,0.0,0.9199219597593029
0FAB,0.0,4.5983591253886615,0.0,0.0
F0FF,3.0654094587023417,2.089676539481226,1.5451506467313734,-1.1509366049414917
6C0F,-0.5428712838263999,0.0,3.328622400683116,-1.9649999999999999
8B0F,0.6000000000000001,0.0,0.42568500000000004,0.0
FF0F,0.46164971567993096,-0.6632050210391358,0.0,-0.4157606780333087
0F6C,0.0,4.648808484208069,0.0,0.5869733153260184
980F,0.0,0.0,-0.38602708425778814,0.0
0FFF,0.0,1.3958081480286437,0.0,0.0
ABF0,0.0,1.5584772909596103,0.0,0.0
terminal,0.0,0.0,0.0,0.0
