,action_ATK_nearest,action_ATK_nearest_weakest,action_MIX_lure,action_MIX_gather
A7,-5.297111227260178,-27.81062823825871,-34.12346531582837,-3.1667328832871218
C5,0.0,-1.0703880643385668,-0.5431980812620245,4.1155882191228175
C4,3.7559676945092324,-0.6000000000000001,-0.6000000000000001,0.14917509604580442
B5,0.0,4.210126662587466,-0.3484867724736759,0.0
0F,-0.38666037043173884,-0.38085705052804786,4.7252499883205825,-0.7930919880757186
X,0.8964748188917726,0.6948069322815289,1.1318085816591206,-0.6985995480709715
A6,-7.382014082373611,-28.37113923606473,-28.09853229036535,-17.97144928347977
96,-5.511897155782206,-4.3000562529245405,-5.588754232712262,-1.7876828627223764
E1,0.0,0.0,4.278316393088549,0.0
F0,3.407462189993098,-0.617893419911761,-1.566874320845193,-1.7572661795475872
98,0.0,-2.16,-2.0127,2.4623456149340592
97,-1.5,-1.5,0.3790135018155494,-0.6915643545000858
95,-10.009896686075056,-25.386001403447807,-26.005840180261302,-18.424996094986906
terminal,0.0,0.0,0.0,0.0
85,-0.24899550808844273,-1.744383419986488,-1.2877242754096203,-1.071207673532138
A5,3.9864370022722144,-4.723490828145301,-2.812555753653199,-1.7282512865950932
D4,0.3712938912873746,0.0,0.0,2.7212689588830554
A4,-2.757265613458483,-1.4781344607419862,-1.4210252940945294,1.0292991479738567
B4,0.0,5.668914214295852,1.9243859896127034,0.0
D3,0.680849476313269,3.0731280221004527,0.009483646185842787,0.0
D2,3.2100261611569163,0.0,-1.3410593553164618,-2.852027312303581
E3,0.3781902477498096,0.0,0.0,7.396211450467883
E2,1.92896202826222,0.020754557566667275,0.0,5.140878143243114
75,0.0,-0.32405700000000004,0.0,0.028453896708454662
89,0.0,2.7457159537377605,0.0,0.0
CA,2.469769612077283,0.0,0.0,0.0
B9,-1.7628600991819576,-0.4239094575647307,0.6998845785375547,-1.4538080576815195
C8,1.6423722668430345,0.285769436721902,-0.30000000000000004,0.0
99,-0.06310471791175006,1.3728207007407036,-1.5011019228632578,-0.17431042386255718
D8,2.673878047787151,0.0,0.0,0.10350121792849586
D6,0.0,-0.30000000000000004,0.0,0.0
B8,-1.0103135131376089,-0.08731912759803356,0.23683799580175136,-0.246
F3,0.0,0.0,0.0,0.7903828444908702
C3,0.0,0.0,2.8782367979965953,0.0
D5,0.0,0.0,1.174089488145297,-1.6560502194940583
C6,1.950991479732847,0.0,0.0,0.0
86,1.7252109673155145,0.0,0.0,-1.023828890882631
AA,2.4141128745692284,-0.053838247437333564,-0.6000000000000001,0.09540178472852637
8A,0.0,0.0,0.5552256283445489,0.0
A9,2.6645767098202526,-0.18827212218206402,-0.17215310055254046,-0.12337873093959731
F1,0.0,1.0032713532338573,0.0,7.6365725634985475
67,0.0,0.0,0.0,2.026292377878037
68,0.0,0.0,0.0,1.6733762605800464
69,0.0,0.0,-1.8774441670527426,0.0
79,-0.30000000000000004,0.0,0.25442983038922473,0.0
B6,0.8651744137054491,-0.4927023628909688,0.0,0.08515131522183217
88,1.6375141535568354,-0.18988017008689106,-1.7762007660270314,0.48477524495543867
D7,0.0,4.2370370593236215,0.0,0.0
A8,0.0,-0.29218259992024226,0.0,5.778246021476002
B7,1.4991561782476506,-0.7416367631233161,-0.6545112702206539,-0.17911494769882721
87,0.0,-0.39293009328565764,-1.6538116957272189,-1.0989946401811217
57,0.0,0.0,0.0,4.354888905430598
56,0.0,1.6732532619717086,-0.30000000000000004,0.0
66,2.513667799911897,0.0,0.0,-0.13639186865150474
77,0.0,0.0,0.75974039265381,0.0
C9,0.0,0.0,3.489604468954595,0.0
94,-0.4313530595445031,-1.0436118921736017,-2.098400938571581,1.1746760958716962
B3,0.0,0.0,0.1433707366459617,0.0
9A,1.047802820495858,2.549340254542346,0.1870333754810744,0.18692570494369393
BB,0.2742822545375344,0.0,0.0,0.0
AB,0.0,2.215744367282677,0.13078828381898516,0.0
78,-0.24977604439318096,-0.12596440876428716,-0.07325022693409743,-1.9492447627561376
D9,0.14184611868127725,3.311653537837389,0.0,0.0
E8,0.0,0.12335849126882066,0.0,0.0
A3,2.3310860551181225,0.0,0.0,0.0
FF,0.0,0.0,1.849770483899257,0.30000000000000004
6B,0.0,0.0,0.0,0.7678416227644387
7A,0.0,0.0,2.955949006974622,0.0
6A,0.0,0.0,0.6273800560422886,0.0
BA,0.7906540969525128,0.0,-2.228704467816341,-0.30000000000000004
7B,1.6969817882088631,0.0,0.0,0.0
C7,3.1575538012906907,0.0,0.0,0.0
93,0.0,0.0,0.0,-0.3345940816707074
E7,-0.2743250349274317,0.0,0.0,0.0
76,0.0,0.2860376519688801,0.0,-1.0566093532513978
E4,0.0,0.0,0.12661893565090862,0.0
59,0.0,0.05289049322497957,0.0,0.0
