,action_ATK_nearest,action_ATK_nearest_weakest,action_MIX_lure,action_MIX_gather
97,-2.66639785001831,-1.9462450285007917,1.61364091896737,-1.706762706626348
88,-0.6000000000000001,-0.3310426169439423,0.0,3.913937376217774
C4,0.16845174472324365,0.12270659221271452,0.5940000000000001,4.400040485056145
C5,-0.0303192772385088,1.0743452548835937,-0.15716485275156078,0.0
0F,0.29899233065132674,-1.3532467218811055,-0.9102630017175277,-0.20600333092615364
X,-0.4701402009467551,-0.26298346579629905,-1.4193012004667664,5.380687924364617
terminal,0.0,0.0,0.0,0.0
A7,0.12121074651704722,-25.700305386886637,-23.74230026072105,-5.428353788445852
95,-5.912234477066807,-20.389782815027733,-28.842134854002374,-15.661352490515714
96,-0.05570034470897134,-4.990437693663804,-5.1032912797675305,-5.6600716178264
AA,2.6212471607566457,0.4771093278072259,1.8181889317939293,1.8582431305635172
F0,-1.254666934678336,-0.8036906835827683,-0.6147277996006851,2.0610080171701126
E3,0.0,0.0,-0.6000000000000001,4.703735620789621
E2,0.41709355970952117,0.0,0.0,6.27762101632071
A6,-17.555011351914303,-24.08666992607201,-22.063437995857203,-11.93905746531005
B5,0.0,0.4525794932621642,-0.0330254626521541,5.042936602265246
A8,0.0,0.0,0.6777050257729034,1.8435131251131525
D4,0.8370865369958864,0.9632081125590248,0.0,4.777076505772902
A3,0.0,-1.2596195836571242,-1.9449613638303025,-0.6910571160182511
D3,-0.287862041247294,-0.30000000000000004,1.7455811246416766,5.904098373662102
B4,0.0,0.0,0.0,4.224604739589754
98,1.4706277591038417,-3.7622293507295668,-0.8313601011886139,2.9544246640871257
A4,-0.46641516329002186,-0.5957231744875946,-0.17401167276364424,2.0990466236495533
B6,-0.34663839753330183,0.6214851070754275,0.0,0.0
79,0.0,0.0,1.3782810410787765,0.0
A5,-5.444581297707098,-8.458885887572695,-8.813774080237254,-5.2137292312928905
78,0.0,-0.2453471893803605,-0.6119001632769253,-0.6000000000000001
CB,0.0,0.0,0.0,1.5080540845246924
86,1.3092422093101181,0.0,0.0,-0.2851684652383475
B7,0.4288872326793084,1.0863145044070546,0.0,0.0
C7,-0.0030000000000000027,2.9070353416344723,-1.3137824004151457,0.0
D9,0.0,0.0,1.445582677799564,0.0
D7,0.0,0.0,1.4179349934242735,0.0
A9,0.0,0.011593846725199523,-1.326224994704304,2.0217439223779974
7A,4.117397055604294,-1.582056,-0.1253321495430452,0.0
8A,0.0,3.366160254713364,0.0,0.0
7B,0.0,0.0,0.0,1.432578854025287
9A,-2.1,-1.1128717715683827,-0.24625237089858393,-0.33898859359269196
AB,0.0,1.8057540851066207,0.15809131454678568,0.0
94,-0.20770862509290416,-2.2611211045112527,-1.308669890761501,-1.1254675177137883
E4,3.3476069413763194,0.0,0.0,0.0
C6,-1.284083489131018,3.862585446227848,-1.400416044734901,0.0
77,0.0,0.0,0.6233522161302234,0.0
87,-0.10937192052227729,0.0,-0.165,1.256942221588157
C3,0.0,4.098343554509198,0.0,0.0
FF,0.6653980276638838,0.0,0.0,-1.1328594169533024
E1,0.0,3.7802936591453937,0.0,0.0
D2,0.0,5.194860472561783,0.0,0.0
DA,0.0,0.0,0.12623239413894885,0.0
C9,0.0,0.0,0.0,1.4665206992154012
C8,0.0,3.4206207795135484,0.0,0.0
D8,0.0,-0.4256549304998587,0.6131909096563106,0.0
B8,0.0,0.0,-1.3561959463094826,2.18787698144083
85,2.0140344548114286,-0.30000000000000004,-0.27129406272465423,-0.2336983697291794
75,0.0,0.9800500277707823,0.0,-0.2668912730222119
76,0.3669854168271962,0.0,0.0,0.0
89,0.3788981395504777,-0.6462239121727074,0.0,3.751626542178332
BA,0.0,0.0,-0.7671109445133814,1.3200815889831943
67,0.0,0.0,0.0,0.6762432733033712
56,0.0,0.0,2.543882787073511,0.0
66,4.030062097049938,0.0,0.0,0.0
D5,6.75086149407173,0.0,-1.513138886115442,0.0
F1,6.055266127217378,0.0,0.0,0.0
B9,0.0,0.0,2.782725573323424,0.0
99,-1.8132625165440623,-1.4364817301955168,0.09918019497000735,-1.9454165938239698
6B,0.1835155630474495,0.0,-0.07513557380608248,0.0
9B,0.22937798357452582,0.0,0.0,0.0
57,0.0,0.0,0.270631888504763,0.0
D6,0.24225181104998061,0.0,-0.30000000000000004,0.0
CA,0.8326599812752788,0.0,0.0,0.0
EA,0.0,0.0,1.3823761597037105,0.0
69,0.0,0.0,0.0,-0.21072760968748028
6A,-0.14010055320794995,0.0,0.0,0.0
BB,-0.261573727179555,-2.1,0.0,0.0
8B,-0.019064932726251316,0.0,0.0,0.0
93,0.0,-0.4920048575244087,0.0,0.0
F3,0.4168510253191533,0.0,0.0,0.0
