,action_ATK_nearest,action_ATK_nearest_weakest,action_MIX_lure,action_MIX_gather
0FC3,0.0,-0.6837493512532191,0.0,-0.0026989510773330685
ABA5,0.0,-0.6000000000000001,0.0,-0.3432
0F0F,-4.010392327123152,0.5182523347689125,-3.4287,-4.2308699999999995
C388,-1.2000000000000002,0.0,3.1732027912083463,0.0
C30F,-1.066631225576205,-1.1160362172777598,-0.9810462302068986,-1.9874542163076931
F0F0,0.0,1.1411478010806537,-2.3388087397470887,-1.2000000000000002
FF0F,-4.584541883331371,-0.755196609121619,-3.730511607186209,-3.458672967157643
A50F,-0.3154542168,0.0,-0.20455234255665244,0.0
terminal,0.0,0.0,0.0,0.0
C995,-0.6000000000000001,-1.2000000000000002,0.0,0.0
0FFF,-0.3594230760288055,-0.871388215242674,-0.37442240110042846,-0.620139
A8FF,0.0,-0.10287000000000002,-0.7736670768402991,0.0
C3F0,0.0,-1.1983218676041947,-1.5,-0.07074600000000009
C9C9,-1.400292708911811,0.0,0.0,-1.8
0A0F,0.0,0.0,0.0,1.0396591058458273
ABF0,0.0,0.0,0.0,-0.6933596341866373
88C3,1.140481448932146,0.0,0.0,0.0
F0AB,0.14132063530863237,-2.289122952938108,-1.406310405212631,-0.30000000000000004
F0C3,0.0,0.0,0.0,1.5464519962163077
A9C3,0.0,0.0,0.0,-0.6805666959610688
A5AB,-0.9253973218918239,0.0,0.0,0.0
0FAB,0.0,0.0,0.0,0.020471014226684715
980F,-1.10051348108301,0.0,0.0,0.0
C3FF,-1.2000000000000002,0.0,-0.30000000000000004,-1.5
460F,0.0,-1.580467800563253,-0.35603353102899415,-2.3646935419041015
6C0F,0.0,-0.5953548003783692,0.0,0.0
